paper_id,dblp_key,congress,level,area,year,window,country_code,source,method,confidence,matched_by,source_work_id,doi,matched_title,n_authors_with_profiles
P0496727,conf/aistats/ZhangLSWPZ25,AISTATS,A,IA / ML,2025,2021-2025,GB,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Personalizing Low-Rank Bayesian Neural Networks Via Federated Learning,4
P0496727,conf/aistats/ZhangLSWPZ25,AISTATS,A,IA / ML,2025,2021-2025,US,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Personalizing Low-Rank Bayesian Neural Networks Via Federated Learning,4
P0496394,conf/aistats/JordahnJSA25,AISTATS,A,IA / ML,2025,2021-2025,DK,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,On Local Posterior Structure in Deep Ensembles,4
P0496489,conf/aistats/MangoldDDSM25,AISTATS,A,IA / ML,2025,2021-2025,AE,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Refined Analysis of Constant Step Size Federated Averaging and Federated Richardson-Romberg Extrapolation,5
P0496489,conf/aistats/MangoldDDSM25,AISTATS,A,IA / ML,2025,2021-2025,FR,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Refined Analysis of Constant Step Size Federated Averaging and Federated Richardson-Romberg Extrapolation,5
P0496489,conf/aistats/MangoldDDSM25,AISTATS,A,IA / ML,2025,2021-2025,RU,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Refined Analysis of Constant Step Size Federated Averaging and Federated Richardson-Romberg Extrapolation,5
P0496545,conf/aistats/PaulinWCL25,AISTATS,A,IA / ML,2025,2021-2025,CH,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Sampling from Bayesian Neural Network Posteriors with Symmetric Minibatch Splitting Langevin Dynamics,4
P0496545,conf/aistats/PaulinWCL25,AISTATS,A,IA / ML,2025,2021-2025,GB,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Sampling from Bayesian Neural Network Posteriors with Symmetric Minibatch Splitting Langevin Dynamics,4
P0496545,conf/aistats/PaulinWCL25,AISTATS,A,IA / ML,2025,2021-2025,HK,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Sampling from Bayesian Neural Network Posteriors with Symmetric Minibatch Splitting Langevin Dynamics,4
P0496545,conf/aistats/PaulinWCL25,AISTATS,A,IA / ML,2025,2021-2025,SG,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Sampling from Bayesian Neural Network Posteriors with Symmetric Minibatch Splitting Langevin Dynamics,4
