acronym,title,level,area,dblp_key,n_articles,first_year,last_year,n_years,n_booktitles,n_dblp_records,n_with_doi,n_with_arxiv,doi_coverage_pct,arxiv_coverage_pct,flags
ISMAR,IEEE/ACM International Symposium on Mixed and Augmented Reality,A*,HCI,ismar,1678,2002,2025,24,1,1678,1663,0,99.11,0.0,
PERCOM,IEEE International Conference on Pervasive Computing and Communications,A*,HCI,percom,890,2003,2025,23,2,890,889,0,99.89,0.0,
SIGGRAPH,ACM SIG International Conference on Computer Graphics and Interactive Techniques,A*,HCI,siggraph,8892,2001,2025,25,77,8892,8781,0,98.75,0.0,
SiggraphA,SIGGRAPH Asia,A*,HCI,siggrapha,2060,2008,2025,14,23,2060,2060,0,100.0,0.0,
UIST,ACM Symposium on User Interface Software and Technology,A*,HCI,uist,1790,2001,2025,25,1,1790,1790,0,100.0,0.0,
VR,IEEE Conference on Virtual Reality and 3D User Interfaces,A*,HCI,vr,2716,2001,2025,25,1,2716,2616,0,96.32,0.0,
AAAI,National Conference of the American Association for Artificial Intelligence,A*,IA / ML,aaai,21756,2004,2025,21,1,21756,20096,0,92.37,0.0,
ACL,Association for Computational Linguistics,A*,IA / ML,acl,9617,2001,2025,23,3,9617,6430,0,66.86,0.0,
ACMMM,ACM Multimedia,A*,IA / ML,mm,10640,2001,2025,25,1,10640,10604,0,99.66,0.0,
CVPR,IEEE Conference on Computer Vision and Pattern Recognition,A*,IA / ML,cvpr,21243,2007,2025,19,1,21243,21207,0,99.83,0.0,
ECCV,European Conference on Computer Vision,A*,IA / ML,eccv,8528,2002,2024,12,89,8528,8528,0,100.0,0.0,
EMNLP,Empirical Methods in Natural Language Processing,A*,IA / ML,emnlp,9202,2001,2025,21,2,9202,8408,0,91.37,0.0,
ICAPS,International Conference on Automated Planning and Scheduling,A*,IA / ML,aips,1258,2003,2023,21,1,1258,80,0,6.36,0.0,
ICCV,IEEE International Conference on Computer Vision,A*,IA / ML,iccv,8144,2001,2023,12,1,8144,8007,0,98.32,0.0,
ICLR,International Conference on Learning Representations,A*,IA / ML,iclr,10241,2017,2025,9,1,10241,0,0,0.0,0.0,
ICML,International Conference on Machine Learning,A*,IA / ML,icml,15644,2001,2025,24,1,15644,878,0,5.61,0.0,
ICRA,IEEE International Conference on Robotics and Automation,A*,IA / ML,icra,23565,2001,2025,25,1,23565,23564,0,100.0,0.0,
