paper_id,dblp_key,congress,level,area,year,window,doi,status
P0000942,conf/dac/Ciriani01,DAC,A*,Sistemas,2001,2001-2005,10.1145/378239.378361,found_no_affiliation_country
P0000966,conf/dac/JaniszewskiHM01,DAC,A*,Sistemas,2001,2001-2005,10.1145/378239.379026,found_no_affiliation_country
P0000980,conf/dac/KoushanfarQ01,DAC,A*,Sistemas,2001,2001-2005,10.1145/378239.378568,found_no_affiliation_country
P0000990,conf/dac/LeeT01,DAC,A*,Sistemas,2001,2001-2005,10.1145/378239.379073,found_no_affiliation_country
P0001011,conf/dac/Najork01,DAC,A*,Sistemas,2001,2001-2005,10.1145/378239.379013,found_no_affiliation_country
P0001031,conf/dac/RiegerMP01,DAC,A*,Sistemas,2001,2001-2005,10.1145/378239.378338,found_no_affiliation_country
P0001035,conf/dac/SanieCHM01,DAC,A*,Sistemas,2001,2001-2005,10.1145/378239.378346,found_no_affiliation_country
P0001038,conf/dac/SchellenbergTCS01,DAC,A*,Sistemas,2001,2001-2005,10.1145/378239.379498,not_found
P0001050,conf/dac/SylvesterK01,DAC,A*,Sistemas,2001,2001-2005,10.1145/378239.378245,found_no_affiliation_country
P0001056,conf/dac/UdayanarayananC01,DAC,A*,Sistemas,2001,2001-2005,10.1145/378239.378521,found_no_affiliation_country
P0001061,conf/dac/WangKMR01,DAC,A*,Sistemas,2001,2001-2005,10.1145/378239.378460,found_no_affiliation_country
P0001123,conf/date/GaoW01,DATE,A,Sistemas,2001,2001-2005,10.1109/DATE.2001.915075,found_no_affiliation_country
P0001161,conf/date/Mandapati01,DATE,A,Sistemas,2001,2001-2005,10.1109/DATE.2001.915102,found_no_affiliation_country
P0001171,conf/date/NguyenJ01,DATE,A,Sistemas,2001,2001-2005,10.1109/DATE.2001.915021,found_no_affiliation_country
P0001219,conf/date/Wilson01,DATE,A,Sistemas,2001,2001-2005,10.1109/DATE.2001.915086,found_no_affiliation_country
P0001324,conf/sigecom/GoldszmidtPS01,EC,A*,Teoría,2001,2001-2005,10.1145/501158.501187,found_no_affiliation_country
P0001328,conf/sigecom/HornePS01,EC,A*,Teoría,2001,2001-2005,10.1145/501158.501168,found_no_affiliation_country
P0001396,conf/ecoop/CaromelV01,ECOOP,A,Ing. del Software,2001,2001-2005,10.1007/3-540-45337-7_14,found_no_affiliation_country
P0001398,conf/ecoop/Cockburn01,ECOOP,A,Ing. del Software,2001,2001-2005,10.1007/3-540-45337-7_16,found_no_affiliation_country
P0001399,conf/ecoop/DrossopoulouDDG01,ECOOP,A,Ing. del Software,2001,2001-2005,10.1007/3-540-45337-7_8,found_no_affiliation_country
P0001441,conf/er/Chiu01,ER,A,Bases de datos,2001,2001-2005,10.1007/3-540-45581-7_40,found_no_affiliation_country
P0001506,conf/esa/Goldberg01,ESA,A,Teoría,2001,2001-2005,10.1007/3-540-44676-1_19,found_no_affiliation_country
P0001527,conf/esop/Backhouse01,ESOP,A,Ing. del Software,2001,2001-2005,10.1007/3-540-45309-1_8,found_no_affiliation_country
P0001535,conf/esop/CuoqP01,ESOP,A,Ing. del Software,2001,2001-2005,10.1007/3-540-45309-1_16,found_no_affiliation_country
P0001572,conf/eurocrypt/HoffsteinPS01,EuroCrypt,A*,Seguridad,2001,2001-2005,10.1007/3-540-44987-6_14,found_no_affiliation_country
P0001577,conf/eurocrypt/Kuhn01,EuroCrypt,A*,Seguridad,2001,2001-2005,10.1007/3-540-44987-6_20,found_no_affiliation_country
P0001592,conf/fc/Frankel01,FC,A,Seguridad,2001,2001-2005,10.1007/3-540-46088-8_4,found_no_affiliation_country
P0001596,conf/fc/JaulmesP01,FC,A,Seguridad,2001,2001-2005,10.1007/3-540-46088-8_11,found_no_affiliation_country
P0001599,conf/fc/Kravitz01,FC,A,Seguridad,2001,2001-2005,10.1007/3-540-46088-8_5,found_no_affiliation_country
P0001602,conf/fc/LiskovM01,FC,A,Seguridad,2001,2001-2005,10.1007/3-540-46088-8_1,found_no_affiliation_country
P0001605,conf/fc/Moskowitz01,FC,A,Seguridad,2001,2001-2005,10.1007/3-540-46088-8_6,found_no_affiliation_country
P0001613,conf/fc/Wyant01,FC,A,Seguridad,2001,2001-2005,10.1007/3-540-46088-8_8,found_no_affiliation_country
P0001674,conf/focs/Sudan01,FOCS,A*,Teoría,2001,2001-2005,10.1109/SFCS.2001.959879,found_no_affiliation_country
P0001699,conf/fpga/SinghMM01,FPGA,A,Sistemas,2001,2001-2005,10.1145/360276.360323,found_no_affiliation_country
P0001700,conf/fpga/SniderSC01,FPGA,A,Sistemas,2001,2001-2005,10.1145/360276.360322,found_no_affiliation_country
P0001757,conf/gd/Ryall00,GD,A,Teoría,2001,2001-2005,10.1007/3-540-45848-4_55,found_no_affiliation_country
P0001758,conf/gd/SanderV00,GD,A,Teoría,2001,2001-2005,10.1007/3-540-45848-4_35,found_no_affiliation_country
P0001797,conf/hpdc/DramlitschAS01,HPDC,A,Sistemas,2001,2001-2005,10.1109/HPDC.2001.945214,found_no_affiliation_country
P0001869,conf/hotos/Mogul01,HotOS,A,Sistemas,2001,2001-2005,10.1109/HOTOS.2001.990092,found_no_affiliation_country
P0001874,conf/hotos/PiumartaOBF01,HotOS,A,Sistemas,2001,2001-2005,10.1109/HOTOS.2001.990094,found_no_affiliation_country
P0001894,conf/icalp/AlurEY01,ICALP,A*,Teoría,2001,2001-2005,10.1007/3-540-48224-5_65,found_no_affiliation_country
P0001897,conf/icalp/Baum-Waidner01,ICALP,A*,Teoría,2001,2001-2005,10.1007/3-540-48224-5_73,found_no_affiliation_country
P0001899,conf/icalp/BenediktGR01,ICALP,A*,Teoría,2001,2001-2005,10.1007/3-540-48224-5_54,found_no_affiliation_country
P0001972,conf/icalp/Tiskin01,ICALP,A*,Teoría,2001,2001-2005,10.1007/3-540-48224-5_15,found_no_affiliation_country
P0001993,conf/iccad/ChiangBS01,ICCAD,A,Sistemas,2001,2001-2005,10.1109/ICCAD.2001.968613,found_no_affiliation_country
P0001995,conf/iccad/CoelhoPS01,ICCAD,A,Sistemas,2001,2001-2005,10.1109/ICCAD.2001.968626,found_no_affiliation_country
P0002030,conf/iccad/LinC01,ICCAD,A,Sistemas,2001,2001-2005,10.1109/ICCAD.2001.968730,found_no_affiliation_country
P0002070,conf/iccad/WuK01,ICCAD,A,Sistemas,2001,2001-2005,10.1109/ICCAD.2001.968702,found_no_affiliation_country
P0002154,conf/iccv/IsardM01,ICCV,A*,IA / ML,2001,2001-2005,10.1109/ICCV.2001.937594,found_no_affiliation_country
P0002239,conf/iccv/SoattoDW01,ICCV,A*,IA / ML,2001,2001-2005,10.1109/ICCV.2001.937658,found_no_affiliation_country
P0002249,conf/iccv/SukthankarCSRHL01,ICCV,A*,IA / ML,2001,2001-2005,10.1109/ICCV.2001.937710,found_no_affiliation_country
P0002266,conf/iccv/Vasconcelos01,ICCV,A*,IA / ML,2001,2001-2005,10.1109/ICCV.2001.937653,found_no_affiliation_country
P0002279,conf/iccv/WildesHHKLMZ01,ICCV,A*,IA / ML,2001,2001-2005,10.1109/ICCV.2001.937646,found_no_affiliation_country
P0002318,conf/icdar/BrakensiekR01,ICDAR,A,IA / ML,2001,2001-2005,10.1109/ICDAR.2001.953791,found_no_affiliation_country
P0002359,conf/icdar/GongL01,ICDAR,A,IA / ML,2001,2001-2005,10.1109/ICDAR.2001.953917,found_no_affiliation_country
P0002378,conf/icdar/Hurst01,ICDAR,A,IA / ML,2001,2001-2005,10.1109/ICDAR.2001.953844,found_no_affiliation_country
P0002415,conf/icdar/LoprestiW01,ICDAR,A,IA / ML,2001,2001-2005,10.1109/ICDAR.2001.953766,found_no_affiliation_country
P0002432,conf/icdar/MoriSHMM01,ICDAR,A,IA / ML,2001,2001-2005,10.1109/ICDAR.2001.953870,found_no_affiliation_country
P0002436,conf/icdar/NajmanGB01,ICDAR,A,IA / ML,2001,2001-2005,10.1109/ICDAR.2001.953857,found_no_affiliation_country
P0002501,conf/icdar/WangBKR01,ICDAR,A,IA / ML,2001,2001-2005,10.1109/ICDAR.2001.953789,found_no_affiliation_country
P0002596,conf/icdcs/ObraczkaTV01,ICDCS,A,Sistemas,2001,2001-2005,10.1109/ICDSC.2001.919008,found_no_affiliation_country
P0002598,conf/icdcs/ParkD01,ICDCS,A,Sistemas,2001,2001-2005,10.1109/ICDSC.2001.918972,found_no_affiliation_country
P0002639,conf/icde/Cochinwala01,ICDE,A*,Bases de datos,2001,2001-2005,10.1109/ICDE.2001.914840,found_no_affiliation_country
P0002646,conf/icde/Fishman01,ICDE,A*,Bases de datos,2001,2001-2005,10.1109/ICDE.2001.914841,found_no_affiliation_country
P0002649,conf/icde/Gignere01,ICDE,A*,Bases de datos,2001,2001-2005,10.1109/ICDE.2001.914831,found_no_affiliation_country
P0002650,conf/icde/GrabsBS01,ICDE,A*,Bases de datos,2001,2001-2005,10.1109/ICDE.2001.914820,found_no_affiliation_country
P0002653,conf/icde/GruberKP01,ICDE,A*,Bases de datos,2001,2001-2005,10.1109/ICDE.2001.914809,found_no_affiliation_country
P0002701,conf/icdm/AnsariKMZ01,ICDM,A*,Bases de datos,2001,2001-2005,10.1109/ICDM.2001.989497,found_no_affiliation_country
P0002703,conf/icdm/BalcazarDW01,ICDM,A*,Bases de datos,2001,2001-2005,10.1109/ICDM.2001.989499,found_no_affiliation_country
P0002724,conf/icdm/GeertsGB01,ICDM,A*,Bases de datos,2001,2001-2005,10.1109/ICDM.2001.989513,found_no_affiliation_country
P0002737,conf/icdm/Hu01,ICDM,A*,Bases de datos,2001,2001-2005,10.1109/ICDM.2001.989524,found_no_affiliation_country
P0002744,conf/icdm/KalpakisGP01,ICDM,A*,Bases de datos,2001,2001-2005,10.1109/ICDM.2001.989529,found_no_affiliation_country
P0002752,conf/icdm/LeeLC01,ICDM,A*,Bases de datos,2001,2001-2005,10.1109/ICDM.2001.989537,found_no_affiliation_country
P0002753,conf/icdm/LeeLK01,ICDM,A*,Bases de datos,2001,2001-2005,10.1109/ICDM.2001.989538,found_no_affiliation_country
P0002806,conf/icdt/AggarwalHK01,ICDT,A,Bases de datos,2001,2001-2005,10.1007/3-540-44503-X_27,found_no_affiliation_country
P0002823,conf/icdt/KuperS01,ICDT,A,Bases de datos,2001,2001-2005,10.1007/3-540-44503-X_21,found_no_affiliation_country
P0002827,conf/icdt/MeussSB01,ICDT,A,Bases de datos,2001,2001-2005,10.1007/3-540-44503-X_22,found_no_affiliation_country
P0002831,conf/icdt/SinhaBC01,ICDT,A,Bases de datos,2001,2001-2005,10.1007/3-540-44503-X_10,found_no_affiliation_country
P0002870,conf/icmcs/BandyopadhyayH01,ICME,A,IA / ML,2001,2001-2005,10.1109/ICME.2001.1237902,found_no_affiliation_country
P0002875,conf/icmcs/Berry01,ICME,A,IA / ML,2001,2001-2005,10.1109/ICME.2001.1237679,found_no_affiliation_country
P0002876,conf/icmcs/BertiniCB01,ICME,A,IA / ML,2001,2001-2005,10.1109/ICME.2001.1237657,found_no_affiliation_country
P0002917,conf/icmcs/FujiiSIY01,ICME,A,IA / ML,2001,2001-2005,10.1109/ICME.2001.1237721,found_no_affiliation_country
P0002918,conf/icmcs/FujiiSIY01a,ICME,A,IA / ML,2001,2001-2005,10.1109/ICME.2001.1237770,found_no_affiliation_country
P0002925,conf/icmcs/GongL01,ICME,A,IA / ML,2001,2001-2005,10.1109/ICME.2001.1237793,found_no_affiliation_country
P0002936,conf/icmcs/HartRS01,ICME,A,IA / ML,2001,2001-2005,10.1109/ICME.2001.1237676,found_no_affiliation_country
P0002943,conf/icmcs/Huang01,ICME,A,IA / ML,2001,2001-2005,10.1109/ICME.2001.1237744,found_no_affiliation_country
P0002965,conf/icmcs/KimataYK01,ICME,A,IA / ML,2001,2001-2005,10.1109/ICME.2001.1237931,found_no_affiliation_country
P0002996,conf/icmcs/LiS01,ICME,A,IA / ML,2001,2001-2005,10.1109/ICME.2001.1237708,found_no_affiliation_country
P0003024,conf/icmcs/Mase01,ICME,A,IA / ML,2001,2001-2005,10.1109/ICME.2001.1237805,found_no_affiliation_country
P0003036,conf/icmcs/MuraiKN01,ICME,A,IA / ML,2001,2001-2005,10.1109/ICME.2001.1237914,found_no_affiliation_country
P0003038,conf/icmcs/Muyal01,ICME,A,IA / ML,2001,2001-2005,10.1109/ICME.2001.1237950,found_no_affiliation_country
P0003042,conf/icmcs/NakatsuTM01,ICME,A,IA / ML,2001,2001-2005,10.1109/ICME.2001.1237807,found_no_affiliation_country
P0003051,conf/icmcs/NishiuraGN01,ICME,A,IA / ML,2001,2001-2005,10.1109/ICME.2001.1237753,found_no_affiliation_country
P0003079,conf/icmcs/Salden01,ICME,A,IA / ML,2001,2001-2005,10.1109/ICME.2001.1237667,found_no_affiliation_country
P0003095,conf/icmcs/Sijstermans01,ICME,A,IA / ML,2001,2001-2005,10.1109/ICME.2001.1237696,found_no_affiliation_country
P0003096,conf/icmcs/SivaramanCV01,ICME,A,IA / ML,2001,2001-2005,10.1109/ICME.2001.1237792,found_no_affiliation_country
P0003106,conf/icmcs/TakaoHA01,ICME,A,IA / ML,2001,2001-2005,10.1109/ICME.2001.1237795,found_no_affiliation_country
P0003128,conf/icmcs/WeiV01,ICME,A,IA / ML,2001,2001-2005,10.1109/ICME.2001.1237812,found_no_affiliation_country
P0003139,conf/icmcs/Yamazaki01,ICME,A,IA / ML,2001,2001-2005,10.1109/ICME.2001.1237740,found_no_affiliation_country
P0003151,conf/icmcs/YouCL01,ICME,A,IA / ML,2001,2001-2005,10.1109/ICME.2001.1237685,found_no_affiliation_country
P0003159,conf/icmcs/ZhaoBH01,ICME,A,IA / ML,2001,2001-2005,10.1109/ICME.2001.1237710,found_no_affiliation_country
P0003313,conf/icra/BorovacNBNPA01,ICRA,A*,IA / ML,2001,2001-2005,10.1109/ROBOT.2001.932958,found_no_affiliation_country
P0003314,conf/icra/BoubakerAN01,ICRA,A*,IA / ML,2001,2001-2005,10.1109/ROBOT.2001.933154,found_no_affiliation_country
P0003315,conf/icra/BouvetG01,ICRA,A*,IA / ML,2001,2001-2005,10.1109/ROBOT.2001.933178,found_no_affiliation_country
P0003318,conf/icra/BredenfeldI01,ICRA,A*,IA / ML,2001,2001-2005,10.1109/ROBOT.2001.932554,found_no_affiliation_country
P0003344,conf/icra/Cheboxarov01,ICRA,A*,IA / ML,2001,2001-2005,10.1109/ROBOT.2001.932960,found_no_affiliation_country
P0003378,conf/icra/CuiG01,ICRA,A*,IA / ML,2001,2001-2005,10.1109/ROBOT.2001.932759,found_no_affiliation_country
P0003391,conf/icra/EbiharaKK01,ICRA,A*,IA / ML,2001,2001-2005,10.1109/ROBOT.2001.932869,found_no_affiliation_country
P0003570,conf/icra/LaurentP01,ICRA,A*,IA / ML,2001,2001-2005,10.1109/ROBOT.2001.933227,found_no_affiliation_country
P0003676,conf/icra/OdaDW01,ICRA,A*,IA / ML,2001,2001-2005,10.1109/ROBOT.2001.932884,found_no_affiliation_country
P0003686,conf/icra/OrehekR01,ICRA,A*,IA / ML,2001,2001-2005,10.1109/ROBOT.2001.932797,found_no_affiliation_country
P0003706,conf/icra/ParomtchikA01,ICRA,A*,IA / ML,2001,2001-2005,10.1109/ROBOT.2001.933067,found_no_affiliation_country
P0003723,conf/icra/RamosPABMMB01,ICRA,A*,IA / ML,2001,2001-2005,10.1109/ROBOT.2001.933267,found_no_affiliation_country
P0003762,conf/icra/SharpSS01,ICRA,A*,IA / ML,2001,2001-2005,10.1109/ROBOT.2001.932859,found_no_affiliation_country
P0003812,conf/icra/Tahboub01,ICRA,A*,IA / ML,2001,2001-2005,10.1109/ROBOT.2001.933023,found_no_affiliation_country
P0003950,conf/ics/Mezher01,ICS,A,Sistemas,2001,2001-2005,10.1145/377792.377848,found_no_affiliation_country
P0003978,conf/icse/Balzer01a,ICSE,A*,Ing. del Software,2001,2001-2005,10.1109/ICSE.2001.919148,found_no_affiliation_country
P0003987,conf/icse/Bosch01,ICSE,A*,Ing. del Software,2001,2001-2005,10.1109/ICSE.2001.919084,found_no_affiliation_country
P0004004,conf/icse/DunsmoreRW01,ICSE,A*,Ing. del Software,2001,2001-2005,10.1109/ICSE.2001.919088,found_no_affiliation_country
P0004009,conf/icse/Egyed01,ICSE,A*,Ing. del Software,2001,2001-2005,10.1109/ICSE.2001.919087,found_no_affiliation_country
P0004055,conf/icse/MullerT01,ICSE,A*,Ing. del Software,2001,2001-2005,10.1109/ICSE.2001.919128,found_no_affiliation_country
P0004074,conf/icse/Selic01,ICSE,A*,Ing. del Software,2001,2001-2005,10.1109/ICSE.2001.919153,found_no_affiliation_country
P0004118,conf/icsm/BrizioliCLS01,ICSME,A,Ing. del Software,2001,2001-2005,10.1109/ICSM.2001.972731,found_no_affiliation_country
