acronym,title,level,area,for1,status,dblp_key,dblp_conf_url
AAMAS,"International Joint Conference on Autonomous Agents and Multiagent Systems (previously the International Conference on Multiagent Systems, ICMAS, changed in 2000)",A,IA / ML,4602,CORE_2026_OFICIAL,atal,https://dblp.org/db/conf/atal/
ACSAC,Annual Computer Security Applications Conference,A,Seguridad,4604,CORE_2026_OFICIAL,acsac,https://dblp.org/db/conf/acsac/
AIED,International Conference on Artificial Intelligence in Education,A,IA / ML,4601,CORE_2026_OFICIAL,aied,https://dblp.org/db/conf/aied/
AISTATS,International Conference on Artificial Intelligence and Statistics,A,IA / ML,4611,CORE_2026_OFICIAL,aistats,https://dblp.org/db/conf/aistats/
ALENEX,Workshop on Algorithm Engineering and Experiments,A,Teoría,4613,CORE_2026_OFICIAL,alenex,https://dblp.org/db/conf/alenex/
APPROX/RANDOM,International Workshop on Approximation Algorithms for Combinatorial Optimization Problems and International Conference on Randomization and Computation,A,Teoría,4613,CORE_2026_OFICIAL,approx,https://dblp.org/db/conf/approx/
ASIACRYPT,International Conference on the Theory and Application of Cryptology and Information Security,A,Seguridad,4604,CORE_2026_OFICIAL,asiacrypt,https://dblp.org/db/conf/asiacrypt/
ASSETS,International ACM SIGACCESS Conference on Computers and Accessibility,A,HCI,4608,CORE_2026_OFICIAL,assets,https://dblp.org/db/conf/assets/
AsiaCCS,"Asia Conference on Information, Computer and Communications Security",A,Seguridad,4604,CORE_2026_OFICIAL,asiaccs,https://dblp.org/db/conf/asiaccs/
BMVC,British Machine Vision Conference,A,IA / ML,4603,CORE_2026_OFICIAL,bmvc,https://dblp.org/db/conf/bmvc/
BPM,International Conference in Business Process Management,A,Ing. del Software,4612,CORE_2026_OFICIAL,bpm,https://dblp.org/db/conf/bpm/
CADE,International Conference on Automated Deduction,A,Teoría,4602,CORE_2026_OFICIAL,cade,https://dblp.org/db/conf/cade/
CCC,IEEE Conference on Computational Complexity,A,Teoría,4613,CORE_2026_OFICIAL,coco,https://dblp.org/db/conf/coco/
CGO,International Symposium on Code Generation and Optimization,A,Ing. del Software,4612,CORE_2026_OFICIAL,cgo,https://dblp.org/db/conf/cgo/
CHES,Workshop on Cryptographic Hardware and Embedded Systems,A,Seguridad,4604,CORE_2026_OFICIAL,ches,https://dblp.org/db/conf/ches/
CIDR,Conference on Innovative Data Systems Research,A,Bases de datos,4605,CORE_2026_OFICIAL,cidr,https://dblp.org/db/conf/cidr/
CIKM,ACM International Conference on Information and Knowledge Management,A,Bases de datos,4605,CORE_2026_OFICIAL,cikm,https://dblp.org/db/conf/cikm/
CP,International Conference on Principles and Practice of Constraint Programming,A,Teoría,4602,CORE_2026_OFICIAL,cp,https://dblp.org/db/conf/cp/
CSCW,ACM Conference on Computer Supported Cooperative Work,A,HCI,4608,CORE_2026_OFICIAL,cscw,https://dblp.org/db/conf/cscw/
CSF,IEEE Computer Security Foundations Symposium (was CSFW),A,Seguridad,4604,CORE_2026_OFICIAL,csfw,https://dblp.org/db/conf/csfw/
CaiSE,International Conference on Advanced Information Systems Engineering,A,Ing. del Software,4605,CORE_2026_OFICIAL,caise,https://dblp.org/db/conf/caise/
CoNEXT,ACM International Conference on Emerging Networking Experiments and Technologies,A,Redes,4606,CORE_2026_OFICIAL,conext,https://dblp.org/db/conf/conext/
DATE,"Design, Automation and Test in Europe Conference",A,Sistemas,CSE,CORE_2026_OFICIAL,date,https://dblp.org/db/conf/date/
DIS,Designing Interactive Systems,A,HCI,4608,CORE_2026_OFICIAL,ACMdis,https://dblp.org/db/conf/ACMdis/
DISC,International Symposium on Distributed Computing (was WDAG),A,Sistemas,4606,CORE_2026_OFICIAL,wdag,https://dblp.org/db/conf/wdag/
DSN,IEEE/IFIP International Conference on Dependable Systems and Networks,A,Sistemas,4606,CORE_2026_OFICIAL,dsn,https://dblp.org/db/conf/dsn/
EACL,European Association for Computational Linguistics,A,IA / ML,4602,CORE_2026_OFICIAL,eacl,https://dblp.org/db/conf/eacl/
EASE,International Conference on Evaluation and Assessment in Software Engineering,A,Ing. del Software,4612,CORE_2026_OFICIAL,ease,https://dblp.org/db/conf/ease/
ECAI,European Conference on Artificial Intelligence,A,IA / ML,4602,CORE_2026_OFICIAL,ecai,https://dblp.org/db/conf/ecai/
ECIR,European Conference on Information Retrieval,A,Bases de datos,4605,CORE_2026_OFICIAL,ecir,https://dblp.org/db/conf/ecir/
ECML PKDD,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Database (PKDD and ECML combined from 2008),A,IA / ML,4611,CORE_2026_OFICIAL,pkdd,https://dblp.org/db/conf/pkdd/
ECOOP,European Conference on Object-Oriented Programming,A,Ing. del Software,4612,CORE_2026_OFICIAL,ecoop,https://dblp.org/db/conf/ecoop/
ER,International Conference on Conceptual Modelling,A,Bases de datos,4605,CORE_2026_OFICIAL,er,https://dblp.org/db/conf/er/
ESA,European Symposium on Algorithms,A,Teoría,4613,CORE_2026_OFICIAL,esa,https://dblp.org/db/conf/esa/
ESEM,International Symposium on Empirical Software Engineering and Measurement,A,Ing. del Software,4612,CORE_2026_OFICIAL,esem,https://dblp.org/db/conf/esem/
ESOP,European Symposium on Programming,A,Ing. del Software,4612,CORE_2026_OFICIAL,esop,https://dblp.org/db/conf/esop/
ESORICS,European Symposium On Research In Computer Security,A,Seguridad,4604,CORE_2026_OFICIAL,esorics,https://dblp.org/db/conf/esorics/
EuroS&P,IEEE European Symposium on Security and Privacy,A,Seguridad,4604,CORE_2026_OFICIAL,eurosp,https://dblp.org/db/conf/eurosp/
EuroSys,Eurosys Conference,A,Sistemas,4606,CORE_2026_OFICIAL,eurosys,https://dblp.org/db/conf/eurosys/
FAST,Conference on File and Storage Technologies,A,Sistemas,4605,CORE_2026_OFICIAL,fast,https://dblp.org/db/conf/fast/
FC,Financial Cryptography and Data Security Conference,A,Seguridad,4604,CORE_2026_OFICIAL,fc,https://dblp.org/db/conf/fc/
FOGA,Foundations of Genetic Algorithms,A,IA / ML,4602,CORE_2026_OFICIAL,foga,https://dblp.org/db/conf/foga/
FPGA,ACM Int'l Symposium on Field Programmable Gate Arrays,A,Sistemas,CSE,CORE_2026_OFICIAL,fpga,https://dblp.org/db/conf/fpga/
GD,Graph Drawing,A,Teoría,4613,CORE_2026_OFICIAL,gd,https://dblp.org/db/conf/gd/
GECCO,Genetic and Evolutionary Computations,A,IA / ML,4602,CORE_2026_OFICIAL,gecco,https://dblp.org/db/conf/gecco/
HPDC,ACM International Symposium on High Performance Distributed Computing,A,Sistemas,4606,CORE_2026_OFICIAL,hpdc,https://dblp.org/db/conf/hpdc/
HotOS,USENIX Workshop on Hot Topics in Operating Systems,A,Sistemas,4606,CORE_2026_OFICIAL,hotos,https://dblp.org/db/conf/hotos/
ICCAD,IEEE/ACM International Conference on Computer-Aided Design,A,Sistemas,CSE,CORE_2026_OFICIAL,iccad,https://dblp.org/db/conf/iccad/
ICDAR,IEEE International Conference on Document Analysis and Recognition,A,IA / ML,4605,CORE_2026_OFICIAL,icdar,https://dblp.org/db/conf/icdar/
ICDCS,International Conference on Distributed Computing Systems,A,Sistemas,4606,CORE_2026_OFICIAL,icdcs,https://dblp.org/db/conf/icdcs/
ICDT,International Conference on Database Theory,A,Bases de datos,4605,CORE_2026_OFICIAL,icdt,https://dblp.org/db/conf/icdt/
ICER,International Computing Education Research Workshop,A,HCI,4608,CORE_2026_OFICIAL,icer,https://dblp.org/db/conf/icer/
ICFP,International Conference on Functional Programming,A,Ing. del Software,4612,CORE_2026_OFICIAL,icfp,https://dblp.org/db/conf/icfp/
ICME,IEEE International Conference on Multimedia and Expo,A,IA / ML,4603,CORE_2026_OFICIAL,icmcs,https://dblp.org/db/conf/icmcs/
