window,country_code,country_articles,eu27_uk_articles,resolved_articles,country_name,is_eu27_uk,share_resolved,share_resolved_pct,share_eu27_uk,share_eu27_uk_pct
2001-2005,TZ,1,14240,44770,TZ,False,2.2e-05,0.002,7e-05,0.007
2001-2005,YE,1,14240,44770,YE,False,2.2e-05,0.002,7e-05,0.007
2006-2010,US,29474,22048,63820,United States,False,0.46183,46.183,1.336811,133.681
2006-2010,DE,5350,22048,63820,Germany,True,0.08383,8.383,0.242652,24.265
2006-2010,GB,4855,22048,63820,United Kingdom,True,0.076073,7.607,0.220201,22.02
2006-2010,JP,4249,22048,63820,Japan,False,0.066578,6.658,0.192716,19.272
2006-2010,CN,4189,22048,63820,China,False,0.065638,6.564,0.189995,18.999
2006-2010,FR,4093,22048,63820,France,True,0.064134,6.413,0.18564,18.564
2006-2010,CA,3898,22048,63820,Canada,False,0.061078,6.108,0.176796,17.68
2006-2010,IT,2132,22048,63820,Italy,True,0.033406,3.341,0.096698,9.67
2006-2010,CH,1903,22048,63820,Switzerland,False,0.029818,2.982,0.086312,8.631
2006-2010,ES,1680,22048,63820,Spain,True,0.026324,2.632,0.076197,7.62
2006-2010,AU,1637,22048,63820,Australia,False,0.02565,2.565,0.074247,7.425
2006-2010,NL,1614,22048,63820,Netherlands,True,0.02529,2.529,0.073204,7.32
2006-2010,IL,1431,22048,63820,Israel,False,0.022422,2.242,0.064904,6.49
2006-2010,SG,1219,22048,63820,Singapore,False,0.019101,1.91,0.055288,5.529
2006-2010,KR,1193,22048,63820,South Korea,False,0.018693,1.869,0.054109,5.411
2006-2010,TW,1012,22048,63820,Taiwan,False,0.015857,1.586,0.0459,4.59
2006-2010,IN,996,22048,63820,India,False,0.015606,1.561,0.045174,4.517
2006-2010,HK,965,22048,63820,Hong Kong,False,0.015121,1.512,0.043768,4.377
2006-2010,BE,743,22048,63820,Belgium,True,0.011642,1.164,0.033699,3.37
2006-2010,SE,735,22048,63820,Sweden,True,0.011517,1.152,0.033336,3.334
2006-2010,AT,648,22048,63820,Austria,True,0.010154,1.015,0.02939,2.939
2006-2010,GR,563,22048,63820,Greece,True,0.008822,0.882,0.025535,2.554
2006-2010,FI,525,22048,63820,Finland,True,0.008226,0.823,0.023812,2.381
2006-2010,BR,486,22048,63820,Brazil,False,0.007615,0.762,0.022043,2.204
2006-2010,DK,423,22048,63820,Denmark,True,0.006628,0.663,0.019185,1.919
2006-2010,PT,411,22048,63820,Portugal,True,0.00644,0.644,0.018641,1.864
2006-2010,IE,402,22048,63820,Ireland,True,0.006299,0.63,0.018233,1.823
2006-2010,NO,293,22048,63820,Norway,False,0.004591,0.459,0.013289,1.329
2006-2010,CZ,271,22048,63820,Czechia,True,0.004246,0.425,0.012291,1.229
2006-2010,NZ,241,22048,63820,NZ,False,0.003776,0.378,0.010931,1.093
2006-2010,TR,215,22048,63820,TR,False,0.003369,0.337,0.009751,0.975
2006-2010,PL,210,22048,63820,Poland,True,0.003291,0.329,0.009525,0.952
2006-2010,MX,205,22048,63820,MX,False,0.003212,0.321,0.009298,0.93
2006-2010,IR,169,22048,63820,IR,False,0.002648,0.265,0.007665,0.767
2006-2010,HU,166,22048,63820,HU,True,0.002601,0.26,0.007529,0.753
2006-2010,RU,129,22048,63820,RU,False,0.002021,0.202,0.005851,0.585
2006-2010,PK,71,22048,63820,PK,False,0.001113,0.111,0.00322,0.322
2006-2010,SI,71,22048,63820,SI,True,0.001113,0.111,0.00322,0.322
2006-2010,LU,69,22048,63820,LU,True,0.001081,0.108,0.00313,0.313
2006-2010,CL,67,22048,63820,CL,False,0.00105,0.105,0.003039,0.304
2006-2010,TH,63,22048,63820,TH,False,0.000987,0.099,0.002857,0.286
2006-2010,RO,61,22048,63820,RO,True,0.000956,0.096,0.002767,0.277
2006-2010,AR,59,22048,63820,AR,False,0.000924,0.092,0.002676,0.268
2006-2010,ZA,52,22048,63820,ZA,False,0.000815,0.081,0.002358,0.236
2006-2010,EG,47,22048,63820,EG,False,0.000736,0.074,0.002132,0.213
2006-2010,TN,47,22048,63820,TN,False,0.000736,0.074,0.002132,0.213
2006-2010,CO,38,22048,63820,CO,False,0.000595,0.06,0.001724,0.172
2006-2010,CY,38,22048,63820,CY,True,0.000595,0.06,0.001724,0.172
2006-2010,SA,33,22048,63820,SA,False,0.000517,0.052,0.001497,0.15
2006-2010,BI,32,22048,63820,BI,False,0.000501,0.05,0.001451,0.145
2006-2010,EE,32,22048,63820,EE,True,0.000501,0.05,0.001451,0.145
2006-2010,MY,31,22048,63820,MY,False,0.000486,0.049,0.001406,0.141
2006-2010,SK,29,22048,63820,SK,True,0.000454,0.045,0.001315,0.132
2006-2010,AE,26,22048,63820,AE,False,0.000407,0.041,0.001179,0.118
2006-2010,SS,25,22048,63820,SS,False,0.000392,0.039,0.001134,0.113
2006-2010,DZ,19,22048,63820,DZ,False,0.000298,0.03,0.000862,0.086
2006-2010,HR,19,22048,63820,HR,True,0.000298,0.03,0.000862,0.086
2006-2010,RS,19,22048,63820,RS,False,0.000298,0.03,0.000862,0.086
2006-2010,BM,18,22048,63820,BM,False,0.000282,0.028,0.000816,0.082
2006-2010,IS,18,22048,63820,IS,False,0.000282,0.028,0.000816,0.082
2006-2010,MO,17,22048,63820,MO,False,0.000266,0.027,0.000771,0.077
2006-2010,BD,14,22048,63820,BD,False,0.000219,0.022,0.000635,0.063
2006-2010,LB,14,22048,63820,LB,False,0.000219,0.022,0.000635,0.063
2006-2010,VE,14,22048,63820,VE,False,0.000219,0.022,0.000635,0.063
2006-2010,VN,14,22048,63820,VN,False,0.000219,0.022,0.000635,0.063
2006-2010,BG,13,22048,63820,BG,True,0.000204,0.02,0.00059,0.059
2006-2010,NG,12,22048,63820,NG,False,0.000188,0.019,0.000544,0.054
2006-2010,JO,11,22048,63820,JO,False,0.000172,0.017,0.000499,0.05
2006-2010,KW,11,22048,63820,KW,False,0.000172,0.017,0.000499,0.05
2006-2010,MA,10,22048,63820,MA,False,0.000157,0.016,0.000454,0.045
2006-2010,QA,10,22048,63820,QA,False,0.000157,0.016,0.000454,0.045
2006-2010,PH,9,22048,63820,PH,False,0.000141,0.014,0.000408,0.041
2006-2010,BY,8,22048,63820,BY,False,0.000125,0.013,0.000363,0.036
2006-2010,MT,8,22048,63820,MT,True,0.000125,0.013,0.000363,0.036
2006-2010,PR,8,22048,63820,PR,False,0.000125,0.013,0.000363,0.036
2006-2010,BN,7,22048,63820,BN,False,0.00011,0.011,0.000317,0.032
2006-2010,DO,7,22048,63820,DO,False,0.00011,0.011,0.000317,0.032
2006-2010,JM,7,22048,63820,JM,False,0.00011,0.011,0.000317,0.032
2006-2010,UY,7,22048,63820,UY,False,0.00011,0.011,0.000317,0.032
2006-2010,CU,6,22048,63820,CU,False,9.4e-05,0.009,0.000272,0.027
2006-2010,LV,6,22048,63820,LV,True,9.4e-05,0.009,0.000272,0.027
2006-2010,MK,6,22048,63820,MK,False,9.4e-05,0.009,0.000272,0.027
2006-2010,UA,6,22048,63820,UA,False,9.4e-05,0.009,0.000272,0.027
2006-2010,OM,5,22048,63820,OM,False,7.8e-05,0.008,0.000227,0.023
2006-2010,PS,5,22048,63820,PS,False,7.8e-05,0.008,0.000227,0.023
2006-2010,KH,4,22048,63820,KH,False,6.3e-05,0.006,0.000181,0.018
2006-2010,LK,4,22048,63820,LK,False,6.3e-05,0.006,0.000181,0.018
2006-2010,TJ,4,22048,63820,TJ,False,6.3e-05,0.006,0.000181,0.018
2006-2010,ZW,4,22048,63820,ZW,False,6.3e-05,0.006,0.000181,0.018
2006-2010,EC,3,22048,63820,EC,False,4.7e-05,0.005,0.000136,0.014
2006-2010,KE,3,22048,63820,KE,False,4.7e-05,0.005,0.000136,0.014
2006-2010,LT,3,22048,63820,LT,True,4.7e-05,0.005,0.000136,0.014
2006-2010,PA,3,22048,63820,PA,False,4.7e-05,0.005,0.000136,0.014
2006-2010,CR,2,22048,63820,CR,False,3.1e-05,0.003,9.1e-05,0.009
2006-2010,FJ,2,22048,63820,FJ,False,3.1e-05,0.003,9.1e-05,0.009
2006-2010,ID,2,22048,63820,ID,False,3.1e-05,0.003,9.1e-05,0.009
2006-2010,TT,2,22048,63820,TT,False,3.1e-05,0.003,9.1e-05,0.009
2006-2010,TZ,2,22048,63820,TZ,False,3.1e-05,0.003,9.1e-05,0.009
2006-2010,UG,2,22048,63820,UG,False,3.1e-05,0.003,9.1e-05,0.009
2006-2010,VG,2,22048,63820,VG,False,3.1e-05,0.003,9.1e-05,0.009
2006-2010,AF,1,22048,63820,AF,False,1.6e-05,0.002,4.5e-05,0.005
2006-2010,AL,1,22048,63820,AL,False,1.6e-05,0.002,4.5e-05,0.005
2006-2010,BB,1,22048,63820,BB,False,1.6e-05,0.002,4.5e-05,0.005
2006-2010,BH,1,22048,63820,BH,False,1.6e-05,0.002,4.5e-05,0.005
2006-2010,BS,1,22048,63820,BS,False,1.6e-05,0.002,4.5e-05,0.005
2006-2010,BW,1,22048,63820,BW,False,1.6e-05,0.002,4.5e-05,0.005
2006-2010,CM,1,22048,63820,CM,False,1.6e-05,0.002,4.5e-05,0.005
2006-2010,DJ,1,22048,63820,DJ,False,1.6e-05,0.002,4.5e-05,0.005
2006-2010,ET,1,22048,63820,ET,False,1.6e-05,0.002,4.5e-05,0.005
2006-2010,GF,1,22048,63820,GF,False,1.6e-05,0.002,4.5e-05,0.005
2006-2010,GH,1,22048,63820,GH,False,1.6e-05,0.002,4.5e-05,0.005
2006-2010,KP,1,22048,63820,KP,False,1.6e-05,0.002,4.5e-05,0.005
2006-2010,MD,1,22048,63820,MD,False,1.6e-05,0.002,4.5e-05,0.005
2006-2010,ME,1,22048,63820,ME,False,1.6e-05,0.002,4.5e-05,0.005
2006-2010,MM,1,22048,63820,MM,False,1.6e-05,0.002,4.5e-05,0.005
2006-2010,NC,1,22048,63820,NC,False,1.6e-05,0.002,4.5e-05,0.005
2006-2010,NP,1,22048,63820,NP,False,1.6e-05,0.002,4.5e-05,0.005
2006-2010,PF,1,22048,63820,PF,False,1.6e-05,0.002,4.5e-05,0.005
2006-2010,PY,1,22048,63820,PY,False,1.6e-05,0.002,4.5e-05,0.005
2006-2010,SY,1,22048,63820,SY,False,1.6e-05,0.002,4.5e-05,0.005
2006-2010,TV,1,22048,63820,TV,False,1.6e-05,0.002,4.5e-05,0.005
2011-2015,US,33928,26136,73111,United States,False,0.464061,46.406,1.298133,129.813
2011-2015,CN,7216,26136,73111,China,False,0.098699,9.87,0.276094,27.609
2011-2015,DE,6970,26136,73111,Germany,True,0.095334,9.533,0.266682,26.668
2011-2015,GB,5981,26136,73111,United Kingdom,True,0.081807,8.181,0.228841,22.884
2011-2015,FR,4508,26136,73111,France,True,0.06166,6.166,0.172482,17.248
2011-2015,CA,4208,26136,73111,Canada,False,0.057556,5.756,0.161004,16.1
2011-2015,JP,3648,26136,73111,Japan,False,0.049897,4.99,0.139578,13.958
2011-2015,IT,2560,26136,73111,Italy,True,0.035015,3.502,0.097949,9.795
2011-2015,CH,2486,26136,73111,Switzerland,False,0.034003,3.4,0.095118,9.512
2011-2015,AU,2464,26136,73111,Australia,False,0.033702,3.37,0.094276,9.428
2011-2015,SG,2099,26136,73111,Singapore,False,0.02871,2.871,0.080311,8.031
2011-2015,ES,1909,26136,73111,Spain,True,0.026111,2.611,0.073041,7.304
2011-2015,NL,1742,26136,73111,Netherlands,True,0.023827,2.383,0.066651,6.665
2011-2015,IL,1716,26136,73111,Israel,False,0.023471,2.347,0.065657,6.566
2011-2015,KR,1522,26136,73111,South Korea,False,0.020818,2.082,0.058234,5.823
2011-2015,IN,1306,26136,73111,India,False,0.017863,1.786,0.049969,4.997
2011-2015,HK,1302,26136,73111,Hong Kong,False,0.017809,1.781,0.049816,4.982
2011-2015,AT,1106,26136,73111,Austria,True,0.015128,1.513,0.042317,4.232
2011-2015,TW,1052,26136,73111,Taiwan,False,0.014389,1.439,0.040251,4.025
2011-2015,SE,1009,26136,73111,Sweden,True,0.013801,1.38,0.038606,3.861
2011-2015,BE,878,26136,73111,Belgium,True,0.012009,1.201,0.033594,3.359
2011-2015,BR,705,26136,73111,Brazil,False,0.009643,0.964,0.026974,2.697
2011-2015,GR,664,26136,73111,Greece,True,0.009082,0.908,0.025406,2.541
2011-2015,DK,632,26136,73111,Denmark,True,0.008644,0.864,0.024181,2.418
2011-2015,PT,570,26136,73111,Portugal,True,0.007796,0.78,0.021809,2.181
2011-2015,FI,562,26136,73111,Finland,True,0.007687,0.769,0.021503,2.15
2011-2015,IE,462,26136,73111,Ireland,True,0.006319,0.632,0.017677,1.768
2011-2015,NO,409,26136,73111,Norway,False,0.005594,0.559,0.015649,1.565
2011-2015,CZ,373,26136,73111,Czechia,True,0.005102,0.51,0.014272,1.427
