paper_id,dblp_key,congress,level,area,year,window,country_code,source,method,confidence,matched_by,source_work_id,source_doi,venue_query,source_id,matched_title,n_institutions_for_country
P0308903,conf/atal/GonenE20,AAMAS,A,IA / ML,2020,2016-2020,IL,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2996953058,https://doi.org/10.1007/s10458-019-09437-7,Autonomous Agents and Multi-Agent Systems,S5405189,"COMBIMA: truthful, budget maintaining, dynamic combinatorial market",2
P0370389,conf/atal/BoehmerKN22,AAMAS,A,IA / ML,2022,2021-2025,DE,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W3130683151,https://doi.org/10.1007/s10458-022-09594-2,Autonomous Agents and Multi-Agent Systems,S5405189,A refined complexity analysis of fair districting over graphs,3
P0404428,conf/atal/0001JPPS23,AAMAS,A,IA / ML,2023,2021-2025,FR,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W4383472612,https://doi.org/10.1007/s10458-025-09726-4,Autonomous Agents and Multi-Agent Systems,S5405189,Strategic (Timed) Computation Tree Logic,7
P0404428,conf/atal/0001JPPS23,AAMAS,A,IA / ML,2023,2021-2025,LU,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W4383472612,https://doi.org/10.1007/s10458-025-09726-4,Autonomous Agents and Multi-Agent Systems,S5405189,Strategic (Timed) Computation Tree Logic,1
P0404428,conf/atal/0001JPPS23,AAMAS,A,IA / ML,2023,2021-2025,PL,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W4383472612,https://doi.org/10.1007/s10458-025-09726-4,Autonomous Agents and Multi-Agent Systems,S5405189,Strategic (Timed) Computation Tree Logic,5
P0445499,conf/atal/ZhuD024,AAMAS,A,IA / ML,2024,2021-2025,NL,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W4390638728,https://doi.org/10.1007/s10458-023-09633-6,Autonomous Agents and Multi-Agent Systems,S5405189,A survey of multi-agent deep reinforcement learning with communication,3
P0371020,conf/acl/LoL022,ACL,A*,IA / ML,2022,2021-2025,CN,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W4285210509,https://doi.org/10.18653/v1/2022.acl-long.372,Annual Meeting of the Association for Computational Linguistics,S4363608652,Semantic Composition with PSHRG for Derivation Tree Reconstruction from Graph-Based Meaning Representations,3
P0371131,conf/acl/RonyKCU022,ACL,A*,IA / ML,2022,2021-2025,DE,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W4285281069,https://doi.org/10.18653/v1/2022.acl-long.387,Annual Meeting of the Association for Computational Linguistics,S4363608652,RoMe: A Robust Metric for Evaluating Natural Language Generation,4
P0260060,conf/mm/Muhlhauser18,ACMMM,A*,IA / ML,2018,2016-2020,DE,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2899092679,,ACM Multimedia,S4306417570,Session details: FF-1.,1
P0260496,conf/approx/0002KTWZ18,APPROX/RANDOM,A,Teoría,2018,2016-2020,HK,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2962979409,,Approximation Randomization and Combinatorial Optimization,S4306420261,Online Makespan Minimization: The Power of Restart.,5
P0284282,conf/approx/GhoshalLR19,APPROX/RANDOM,A,Teoría,2019,2016-2020,IN,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2978405682,,Approximation Randomization and Combinatorial Optimization,S4306420261,Approximation Algorithms for Partially Colorable Graphs.,3
P0340164,conf/approx/ChekuriQT21,APPROX/RANDOM,A,Teoría,2021,2021-2025,US,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W3204483615,https://doi.org/10.4230/lipics-approx/random.2021.24,Approximation Randomization and Combinatorial Optimization,S4306420261,Fast Approximation Algorithms for Bounded Degree and Crossing Spanning Tree Problems.,3
P0165884,conf/bmvc/PfisterCZ13,BMVC,A,IA / ML,2013,2011-2015,GB,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2403878043,,British Machine Vision Conference,S4306417864,Large-scale Learning of Sign Language by Watching TV (Using Co-occurrences).,3
P0183484,conf/bmvc/FaktorI14,BMVC,A,IA / ML,2014,2011-2015,IL,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2402395722,,British Machine Vision Conference,S4306417864,Video Segmentation by Non-Local Consensus voting.,2
P0183519,conf/bmvc/KhamisL14,BMVC,A,IA / ML,2014,2011-2015,AT,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2395001008,,British Machine Vision Conference,S4306417864,CoConut: Co-classification with output space regularization,1
P0183519,conf/bmvc/KhamisL14,BMVC,A,IA / ML,2014,2011-2015,US,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2395001008,,British Machine Vision Conference,S4306417864,CoConut: Co-classification with output space regularization,1
P0220034,conf/bmvc/Ikeuchi16,BMVC,A,IA / ML,2016,2016-2020,US,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2612629417,,British Machine Vision Conference,S4306417864,e-Intangible Heritage.,1
P0220117,conf/bmvc/Urtasun16,BMVC,A,IA / ML,2016,2016-2020,CA,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2612090565,,British Machine Vision Conference,S4306417864,Towards Affordable Self-driving Cars.,1
P0239583,conf/bmvc/Agapito17,BMVC,A,IA / ML,2017,2016-2020,GB,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2894343464,,British Machine Vision Conference,S4306417864,3D Reconstruction of Dynamic Scenes from Monocular Video.,1
P0239624,conf/bmvc/Geiger17,BMVC,A,IA / ML,2017,2016-2020,DE,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2892423307,,British Machine Vision Conference,S4306417864,Probabilistic and Deep Models for 3D Reconstruction.,2
P0239665,conf/bmvc/Lepetit17,BMVC,A,IA / ML,2017,2016-2020,AT,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2894045981,,British Machine Vision Conference,S4306417864,Deep Learning for 3D Localization.,1
P0260815,conf/bmvc/0002HH18,BMVC,A,IA / ML,2018,2016-2020,JP,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2894135384,,British Machine Vision Conference,S4306417864,Training Student Networks for Acceleration with Conditional Adversarial Networks.,1
P0260815,conf/bmvc/0002HH18,BMVC,A,IA / ML,2018,2016-2020,US,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2894135384,,British Machine Vision Conference,S4306417864,Training Student Networks for Acceleration with Conditional Adversarial Networks.,2
P0260816,conf/bmvc/0002YLS18,BMVC,A,IA / ML,2018,2016-2020,CN,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2894354024,,British Machine Vision Conference,S4306417864,Strong Baseline for Single Image Dehazing with Deep Features and Instance Normalization.,2
P0260816,conf/bmvc/0002YLS18,BMVC,A,IA / ML,2018,2016-2020,US,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2894354024,,British Machine Vision Conference,S4306417864,Strong Baseline for Single Image Dehazing with Deep Features and Instance Normalization.,2
P0260820,conf/bmvc/AhmadiMP18,BMVC,A,IA / ML,2018,2016-2020,GB,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2892573405,,British Machine Vision Conference,S4306417864,LikeNet: A Siamese Motion Estimation Network Trained in an Unsupervised Way.,3
P0260823,conf/bmvc/AnnunziataSC18,BMVC,A,IA / ML,2018,2016-2020,GB,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2963647107,,British Machine Vision Conference,S4306417864,DeSTNet: Densely Fused Spatial Transformer Networks,3
P0260824,conf/bmvc/AntunesBSS18,BMVC,A,IA / ML,2018,2016-2020,PT,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2893379316,,British Machine Vision Conference,S4306417864,AHA-3D: A Labelled Dataset for Senior Fitness Exercise Recognition and Segmentation from 3D Skeletal Data.,2
