level,window,rank_eu27_uk,country_code,country_name,country_articles,eu27_uk_articles,share_eu27_uk,share_eu27_uk_pct
A*,2011-2015,16,PL,Poland,134,11592,0.01156,1.156
A*,2011-2015,17,HU,HU,77,11592,0.006643,0.664
A*,2011-2015,18,LU,LU,45,11592,0.003882,0.388
A*,2011-2015,19,RO,RO,36,11592,0.003106,0.311
A*,2011-2015,20,SI,SI,30,11592,0.002588,0.259
A*,2011-2015,21,CY,CY,23,11592,0.001984,0.198
A*,2011-2015,22,EE,EE,16,11592,0.00138,0.138
A*,2011-2015,22,HR,HR,16,11592,0.00138,0.138
A*,2011-2015,24,SK,SK,15,11592,0.001294,0.129
A*,2011-2015,25,BG,BG,9,11592,0.000776,0.078
A*,2011-2015,26,LV,LV,6,11592,0.000518,0.052
A*,2011-2015,27,LT,LT,2,11592,0.000173,0.017
A*,2011-2015,27,MT,MT,2,11592,0.000173,0.017
A*,2016-2020,1,GB,United Kingdom,5458,16447,0.331854,33.185
A*,2016-2020,2,DE,Germany,4274,16447,0.259865,25.987
A*,2016-2020,3,FR,France,2402,16447,0.146045,14.604
A*,2016-2020,4,IT,Italy,1352,16447,0.082203,8.22
A*,2016-2020,5,NL,Netherlands,1105,16447,0.067186,6.719
A*,2016-2020,6,SE,Sweden,700,16447,0.042561,4.256
A*,2016-2020,7,AT,Austria,675,16447,0.041041,4.104
A*,2016-2020,8,ES,Spain,627,16447,0.038122,3.812
A*,2016-2020,9,DK,Denmark,592,16447,0.035994,3.599
A*,2016-2020,10,FI,Finland,418,16447,0.025415,2.541
A*,2016-2020,11,BE,Belgium,403,16447,0.024503,2.45
A*,2016-2020,12,CZ,Czechia,334,16447,0.020308,2.031
A*,2016-2020,13,PL,Poland,333,16447,0.020247,2.025
A*,2016-2020,14,GR,Greece,300,16447,0.01824,1.824
A*,2016-2020,15,IE,Ireland,226,16447,0.013741,1.374
A*,2016-2020,16,PT,Portugal,214,16447,0.013011,1.301
A*,2016-2020,17,LU,LU,83,16447,0.005047,0.505
A*,2016-2020,18,HU,HU,68,16447,0.004134,0.413
A*,2016-2020,19,RO,RO,66,16447,0.004013,0.401
A*,2016-2020,20,SI,SI,43,16447,0.002614,0.261
A*,2016-2020,21,SK,SK,42,16447,0.002554,0.255
A*,2016-2020,22,CY,CY,34,16447,0.002067,0.207
A*,2016-2020,23,BG,BG,19,16447,0.001155,0.116
A*,2016-2020,23,EE,EE,19,16447,0.001155,0.116
A*,2016-2020,25,HR,HR,11,16447,0.000669,0.067
A*,2016-2020,26,LV,LV,7,16447,0.000426,0.043
A*,2016-2020,26,MT,MT,7,16447,0.000426,0.043
A*,2016-2020,28,LT,LT,3,16447,0.000182,0.018
A*,2021-2025,1,GB,United Kingdom,10260,28856,0.355559,35.556
A*,2021-2025,2,DE,Germany,7729,28856,0.267847,26.785
A*,2021-2025,3,FR,France,3895,28856,0.134981,13.498
A*,2021-2025,4,NL,Netherlands,2188,28856,0.075825,7.582
A*,2021-2025,5,IT,Italy,2144,28856,0.0743,7.43
A*,2021-2025,6,SE,Sweden,1372,28856,0.047546,4.755
A*,2021-2025,7,AT,Austria,1256,28856,0.043526,4.353
A*,2021-2025,8,DK,Denmark,1127,28856,0.039056,3.906
A*,2021-2025,9,ES,Spain,1010,28856,0.035001,3.5
A*,2021-2025,10,PL,Poland,764,28856,0.026476,2.648
A*,2021-2025,11,FI,Finland,645,28856,0.022352,2.235
A*,2021-2025,12,BE,Belgium,638,28856,0.02211,2.211
A*,2021-2025,13,CZ,Czechia,440,28856,0.015248,1.525
A*,2021-2025,14,GR,Greece,361,28856,0.01251,1.251
A*,2021-2025,15,PT,Portugal,285,28856,0.009877,0.988
A*,2021-2025,16,IE,Ireland,265,28856,0.009184,0.918
A*,2021-2025,17,LU,LU,155,28856,0.005371,0.537
A*,2021-2025,18,HU,HU,80,28856,0.002772,0.277
A*,2021-2025,19,BG,BG,77,28856,0.002668,0.267
A*,2021-2025,20,SK,SK,74,28856,0.002564,0.256
A*,2021-2025,21,RO,RO,70,28856,0.002426,0.243
A*,2021-2025,22,SI,SI,62,28856,0.002149,0.215
A*,2021-2025,23,CY,CY,55,28856,0.001906,0.191
A*,2021-2025,24,EE,EE,39,28856,0.001352,0.135
A*,2021-2025,25,HR,HR,22,28856,0.000762,0.076
A*,2021-2025,26,LV,LV,8,28856,0.000277,0.028
A*,2021-2025,27,LT,LT,5,28856,0.000173,0.017
A*,2021-2025,27,MT,MT,5,28856,0.000173,0.017
A,2001-2005,1,DE,Germany,1985,9108,0.21794,21.794
A,2001-2005,2,GB,United Kingdom,1769,9108,0.194225,19.422
A,2001-2005,3,FR,France,1569,9108,0.172266,17.227
A,2001-2005,4,IT,Italy,971,9108,0.10661,10.661
A,2001-2005,5,NL,Netherlands,813,9108,0.089262,8.926
A,2001-2005,6,ES,Spain,684,9108,0.075099,7.51
A,2001-2005,7,SE,Sweden,367,9108,0.040294,4.029
A,2001-2005,8,BE,Belgium,323,9108,0.035463,3.546
A,2001-2005,9,GR,Greece,229,9108,0.025143,2.514
A,2001-2005,10,FI,Finland,204,9108,0.022398,2.24
A,2001-2005,11,AT,Austria,194,9108,0.0213,2.13
A,2001-2005,12,PT,Portugal,171,9108,0.018775,1.877
A,2001-2005,13,IE,Ireland,167,9108,0.018336,1.834
A,2001-2005,14,DK,Denmark,142,9108,0.015591,1.559
A,2001-2005,15,CZ,Czechia,134,9108,0.014712,1.471
A,2001-2005,16,HU,HU,90,9108,0.009881,0.988
A,2001-2005,17,PL,Poland,89,9108,0.009772,0.977
A,2001-2005,18,SI,SI,48,9108,0.00527,0.527
A,2001-2005,19,RO,RO,22,9108,0.002415,0.242
A,2001-2005,19,SK,SK,22,9108,0.002415,0.242
A,2001-2005,21,BG,BG,17,9108,0.001866,0.187
A,2001-2005,22,CY,CY,14,9108,0.001537,0.154
A,2001-2005,23,EE,EE,11,9108,0.001208,0.121
A,2001-2005,23,HR,HR,11,9108,0.001208,0.121
A,2001-2005,25,LU,LU,10,9108,0.001098,0.11
A,2001-2005,26,LV,LV,8,9108,0.000878,0.088
A,2001-2005,27,LT,LT,4,9108,0.000439,0.044
A,2006-2010,1,DE,Germany,3357,13833,0.242681,24.268
A,2006-2010,2,GB,United Kingdom,2793,13833,0.201908,20.191
A,2006-2010,3,FR,France,2505,13833,0.181089,18.109
A,2006-2010,4,IT,Italy,1362,13833,0.09846,9.846
A,2006-2010,5,ES,Spain,1152,13833,0.083279,8.328
A,2006-2010,6,NL,Netherlands,1105,13833,0.079881,7.988
A,2006-2010,7,BE,Belgium,488,13833,0.035278,3.528
A,2006-2010,8,SE,Sweden,474,13833,0.034266,3.427
A,2006-2010,9,AT,Austria,379,13833,0.027398,2.74
A,2006-2010,10,GR,Greece,349,13833,0.02523,2.523
A,2006-2010,11,PT,Portugal,320,13833,0.023133,2.313
A,2006-2010,12,FI,Finland,312,13833,0.022555,2.255
A,2006-2010,13,IE,Ireland,290,13833,0.020964,2.096
A,2006-2010,14,DK,Denmark,234,13833,0.016916,1.692
A,2006-2010,15,CZ,Czechia,173,13833,0.012506,1.251
A,2006-2010,16,PL,Poland,130,13833,0.009398,0.94
A,2006-2010,17,HU,HU,99,13833,0.007157,0.716
A,2006-2010,18,LU,LU,53,13833,0.003831,0.383
A,2006-2010,18,RO,RO,53,13833,0.003831,0.383
A,2006-2010,20,SI,SI,41,13833,0.002964,0.296
A,2006-2010,21,EE,EE,22,13833,0.00159,0.159
A,2006-2010,22,SK,SK,20,13833,0.001446,0.145
A,2006-2010,23,CY,CY,19,13833,0.001374,0.137
A,2006-2010,24,BG,BG,11,13833,0.000795,0.08
A,2006-2010,25,HR,HR,7,13833,0.000506,0.051
A,2006-2010,26,MT,MT,5,13833,0.000361,0.036
A,2006-2010,27,LT,LT,3,13833,0.000217,0.022
A,2006-2010,28,LV,LV,1,13833,7.2e-05,0.007
A,2011-2015,1,DE,Germany,3908,14544,0.268702,26.87
A,2011-2015,2,GB,United Kingdom,2827,14544,0.194376,19.438
A,2011-2015,3,FR,France,2563,14544,0.176224,17.622
A,2011-2015,4,IT,Italy,1478,14544,0.101623,10.162
A,2011-2015,5,ES,Spain,1196,14544,0.082233,8.223
A,2011-2015,6,NL,Netherlands,1112,14544,0.076458,7.646
A,2011-2015,7,SE,Sweden,605,14544,0.041598,4.16
A,2011-2015,8,AT,Austria,582,14544,0.040017,4.002
A,2011-2015,9,BE,Belgium,514,14544,0.035341,3.534
A,2011-2015,10,PT,Portugal,378,14544,0.02599,2.599
A,2011-2015,11,GR,Greece,346,14544,0.02379,2.379
A,2011-2015,12,FI,Finland,315,14544,0.021658,2.166
A,2011-2015,13,DK,Denmark,302,14544,0.020765,2.076
A,2011-2015,14,IE,Ireland,281,14544,0.019321,1.932
A,2011-2015,15,CZ,Czechia,219,14544,0.015058,1.506
