level,window,country_code,country_articles,eu27_uk_articles,resolved_articles,country_name,is_eu27_uk,share_eu27_uk,share_eu27_uk_pct
A*,2011-2015,FR,1945,11592,37322,France,True,0.167788,16.779
A*,2011-2015,JP,1899,11592,37322,Japan,False,0.16382,16.382
A*,2011-2015,SG,1355,11592,37322,Singapore,False,0.116891,11.689
A*,2011-2015,AU,1243,11592,37322,Australia,False,0.107229,10.723
A*,2011-2015,CH,1240,11592,37322,Switzerland,False,0.10697,10.697
A*,2011-2015,IT,1082,11592,37322,Italy,True,0.09334,9.334
A*,2011-2015,IL,1062,11592,37322,Israel,False,0.091615,9.161
A*,2011-2015,KR,874,11592,37322,South Korea,False,0.075397,7.54
A*,2011-2015,HK,873,11592,37322,Hong Kong,False,0.075311,7.531
A*,2011-2015,ES,713,11592,37322,Spain,True,0.061508,6.151
A*,2011-2015,NL,630,11592,37322,Netherlands,True,0.054348,5.435
A*,2011-2015,IN,616,11592,37322,India,False,0.05314,5.314
A*,2011-2015,TW,545,11592,37322,Taiwan,False,0.047015,4.702
A*,2011-2015,AT,524,11592,37322,Austria,True,0.045204,4.52
A*,2011-2015,SE,404,11592,37322,Sweden,True,0.034852,3.485
A*,2011-2015,BE,364,11592,37322,Belgium,True,0.031401,3.14
A*,2011-2015,DK,330,11592,37322,Denmark,True,0.028468,2.847
A*,2011-2015,GR,318,11592,37322,Greece,True,0.027433,2.743
A*,2011-2015,FI,247,11592,37322,Finland,True,0.021308,2.131
A*,2011-2015,PT,192,11592,37322,Portugal,True,0.016563,1.656
A*,2011-2015,BR,183,11592,37322,Brazil,False,0.015787,1.579
A*,2011-2015,IE,181,11592,37322,Ireland,True,0.015614,1.561
A*,2011-2015,NZ,160,11592,37322,NZ,False,0.013803,1.38
A*,2011-2015,CZ,154,11592,37322,Czechia,True,0.013285,1.329
A*,2011-2015,PL,134,11592,37322,Poland,True,0.01156,1.156
A*,2011-2015,NO,129,11592,37322,Norway,False,0.011128,1.113
A*,2011-2015,RU,110,11592,37322,RU,False,0.009489,0.949
A*,2011-2015,QA,98,11592,37322,QA,False,0.008454,0.845
A*,2011-2015,TR,92,11592,37322,TR,False,0.007937,0.794
A*,2011-2015,HU,77,11592,37322,HU,True,0.006643,0.664
A*,2011-2015,SA,75,11592,37322,SA,False,0.00647,0.647
A*,2011-2015,MX,71,11592,37322,MX,False,0.006125,0.612
A*,2011-2015,CL,66,11592,37322,CL,False,0.005694,0.569
A*,2011-2015,LU,45,11592,37322,LU,True,0.003882,0.388
A*,2011-2015,PK,44,11592,37322,PK,False,0.003796,0.38
A*,2011-2015,MO,43,11592,37322,MO,False,0.003709,0.371
A*,2011-2015,IR,41,11592,37322,IR,False,0.003537,0.354
A*,2011-2015,RO,36,11592,37322,RO,True,0.003106,0.311
A*,2011-2015,CO,31,11592,37322,CO,False,0.002674,0.267
A*,2011-2015,BI,30,11592,37322,BI,False,0.002588,0.259
A*,2011-2015,SI,30,11592,37322,SI,True,0.002588,0.259
A*,2011-2015,EG,29,11592,37322,EG,False,0.002502,0.25
A*,2011-2015,MY,28,11592,37322,MY,False,0.002415,0.242
A*,2011-2015,AE,26,11592,37322,AE,False,0.002243,0.224
A*,2011-2015,AR,25,11592,37322,AR,False,0.002157,0.216
A*,2011-2015,ZA,25,11592,37322,ZA,False,0.002157,0.216
A*,2011-2015,CY,23,11592,37322,CY,True,0.001984,0.198
A*,2011-2015,IS,20,11592,37322,IS,False,0.001725,0.173
A*,2011-2015,EE,16,11592,37322,EE,True,0.00138,0.138
A*,2011-2015,HR,16,11592,37322,HR,True,0.00138,0.138
A*,2011-2015,SK,15,11592,37322,SK,True,0.001294,0.129
A*,2011-2015,TH,13,11592,37322,TH,False,0.001121,0.112
A*,2011-2015,SS,12,11592,37322,SS,False,0.001035,0.104
A*,2011-2015,PR,11,11592,37322,PR,False,0.000949,0.095
A*,2011-2015,BD,9,11592,37322,BD,False,0.000776,0.078
A*,2011-2015,BG,9,11592,37322,BG,True,0.000776,0.078
A*,2011-2015,VN,9,11592,37322,VN,False,0.000776,0.078
A*,2011-2015,MA,8,11592,37322,MA,False,0.00069,0.069
A*,2011-2015,RS,7,11592,37322,RS,False,0.000604,0.06
A*,2011-2015,DZ,6,11592,37322,DZ,False,0.000518,0.052
A*,2011-2015,ID,6,11592,37322,ID,False,0.000518,0.052
A*,2011-2015,LV,6,11592,37322,LV,True,0.000518,0.052
A*,2011-2015,TN,6,11592,37322,TN,False,0.000518,0.052
A*,2011-2015,LB,5,11592,37322,LB,False,0.000431,0.043
A*,2011-2015,BY,4,11592,37322,BY,False,0.000345,0.035
A*,2011-2015,JM,4,11592,37322,JM,False,0.000345,0.035
A*,2011-2015,UG,4,11592,37322,UG,False,0.000345,0.035
A*,2011-2015,UY,4,11592,37322,UY,False,0.000345,0.035
A*,2011-2015,BM,3,11592,37322,BM,False,0.000259,0.026
A*,2011-2015,BO,3,11592,37322,BO,False,0.000259,0.026
A*,2011-2015,GH,3,11592,37322,GH,False,0.000259,0.026
A*,2011-2015,KW,3,11592,37322,KW,False,0.000259,0.026
A*,2011-2015,KZ,3,11592,37322,KZ,False,0.000259,0.026
A*,2011-2015,MK,3,11592,37322,MK,False,0.000259,0.026
A*,2011-2015,PH,3,11592,37322,PH,False,0.000259,0.026
A*,2011-2015,UA,3,11592,37322,UA,False,0.000259,0.026
A*,2011-2015,VE,3,11592,37322,VE,False,0.000259,0.026
A*,2011-2015,CR,2,11592,37322,CR,False,0.000173,0.017
A*,2011-2015,EC,2,11592,37322,EC,False,0.000173,0.017
A*,2011-2015,IQ,2,11592,37322,IQ,False,0.000173,0.017
A*,2011-2015,LT,2,11592,37322,LT,True,0.000173,0.017
A*,2011-2015,MT,2,11592,37322,MT,True,0.000173,0.017
A*,2011-2015,PE,2,11592,37322,PE,False,0.000173,0.017
A*,2011-2015,TJ,2,11592,37322,TJ,False,0.000173,0.017
A*,2011-2015,AM,1,11592,37322,AM,False,8.6e-05,0.009
A*,2011-2015,BB,1,11592,37322,BB,False,8.6e-05,0.009
A*,2011-2015,BJ,1,11592,37322,BJ,False,8.6e-05,0.009
