congress,level,area,booktitle,n_articles,first_year,last_year,n_years,secondary_tokens,flag_secondary_candidate
ICSE,A*,Ing. del Software,ICSE,3481,2001,2025,23,,False
ICSME,A,Ing. del Software,ICSM,1056,2001,2013,13,,False
ICSME,A,Ing. del Software,ICSME,1052,2014,2025,12,,False
ICSOC,A,Ing. del Software,ICSOC,1038,2003,2022,19,,False
ICST,A,Ing. del Software,ICST,1096,2008,2025,18,,False
ICWS,A,Redes,ICWS,2542,2003,2025,23,,False
ICWSM,A,IA / ML,ICWSM,1952,2007,2025,19,,False
IEEE VIS,A,HCI,IEEE Visualization,477,2001,2005,5,,False
IJCAI,A*,IA / ML,IJCAI,12126,2001,2025,18,,False
IJCAR,A,Teoría,IJCAR,446,2001,2022,10,,False
IMC,A,Redes,IMC,322,2022,2025,4,,False
INFOCOM,A*,Redes,INFOCOM,7502,2001,2025,25,,False
IPDPS,A,Sistemas,IPDPS,5528,2001,2025,25,,False
IROS,A,IA / ML,IROS,23281,2001,2025,25,,False
ISCA,A*,Sistemas,ISCA,1404,2001,2025,25,,False
ISLPED,A,Sistemas,ISLPED,1705,2001,2025,25,,False
ISMAR,A*,HCI,ISMAR,1678,2002,2025,24,,False
ISMB,A,Bioinformática,ISMB,93,2002,2008,2,,False
ISSRE,A,Ing. del Software,ISSRE,1033,2001,2025,25,,False
ISSTA,A,Ing. del Software,ISSTA,1068,2002,2024,21,,False
ISWC,A,Bases de datos,ISWC,601,2002,2023,10,,False
ITC,A,Sistemas,ITC,2450,2001,2025,25,,False
ITCS,A,Teoría,ITCS,1010,2012,2025,14,,False
IUI,A,HCI,IUI,1707,2001,2025,25,,False
Interspeech,A,IA / ML,INTERSPEECH,20224,2001,2025,24,,False
Interspeech,A,IA / ML,Interspeech,999,2021,2021,1,,False
KDD,A*,Bases de datos,KDD,5964,2001,2024,24,,False
KR,A*,IA / ML,KR,1147,2002,2025,15,,False
LAK,A,IA / ML,LAK,1100,2011,2025,15,,False
LICS,A*,Teoría,LICS,1459,2001,2025,24,,False
MICCAI,A,IA / ML,MICCAI (1),2254,2002,2025,23,,False
MICCAI,A,IA / ML,MICCAI (2),2165,2002,2025,23,,False
MICCAI,A,IA / ML,MICCAI (3),1219,2010,2025,16,,False
MICCAI,A,IA / ML,MICCAI (4),599,2018,2025,8,,False
MICCAI,A,IA / ML,MICCAI (6),518,2019,2025,7,,False
MICCAI,A,IA / ML,MICCAI (5),513,2019,2025,7,,False
MICCAI,A,IA / ML,MICCAI (8),403,2021,2025,5,,False
MICCAI,A,IA / ML,MLMI@MICCAI,393,2016,2022,7,,False
MICCAI,A,IA / ML,MICCAI,372,2001,2005,2,,False
MICCAI,A,IA / ML,MICCAI (7),366,2020,2025,5,,False
MICCAI,A,IA / ML,MICCAI (10),204,2023,2025,3,,False
MICCAI,A,IA / ML,MICCAI (9),204,2023,2025,3,,False
MICCAI,A,IA / ML,STACOM@MICCAI,167,2015,2019,5,,False
MICCAI,A,IA / ML,PRIME@MICCAI,163,2018,2025,8,,False
MICCAI,A,IA / ML,SASHIMI@MICCAI,138,2016,2024,9,,False
MICCAI,A,IA / ML,MICCAI (12),137,2024,2025,2,,False
MICCAI,A,IA / ML,MICCAI (11),133,2024,2025,2,,False
MICCAI,A,IA / ML,OMIA@MICCAI,132,2019,2025,7,,False
MICCAI,A,IA / ML,ShapeMI@MICCAI,105,2018,2025,5,,False
MICCAI,A,IA / ML,ASMUS@MICCAI,104,2021,2025,5,,False
MICCAI,A,IA / ML,AMAI@MICCAI,94,2022,2025,4,,False
MICCAI,A,IA / ML,DLMIA/ML-CDS@MICCAI,86,2017,2018,2,,False
MICCAI,A,IA / ML,MLMIR@MICCAI,84,2018,2022,5,,False
MICCAI,A,IA / ML,UNSURE@MICCAI,76,2022,2025,4,,False
MICCAI,A,IA / ML,FLARE@MICCAI,75,2022,2024,3,,False
MICCAI,A,IA / ML,Patch-MI@MICCAI,75,2015,2018,4,,False
MICCAI,A,IA / ML,CDMRI@MICCAI,70,2021,2025,5,,False
MICCAI,A,IA / ML,BrainLes@MICCAI,68,2016,2017,2,,False
MICCAI,A,IA / ML,DGM4MICCAI@MICCAI,66,2022,2025,3,,False
MICCAI,A,IA / ML,MLCN@MICCAI,66,2021,2024,4,,False
MICCAI,A,IA / ML,HECKTOR@MICCAI,65,2020,2022,3,,False
MICCAI,A,IA / ML,MICCAI (13),65,2025,2025,1,,False
MICCAI,A,IA / ML,MICCAI (14),65,2025,2025,1,,False
MICCAI,A,IA / ML,MICCAI (15),65,2025,2025,1,,False
MICCAI,A,IA / ML,MICCAI (16),65,2025,2025,1,,False
MICCAI,A,IA / ML,CLIP@MICCAI,63,2014,2025,5,,False
MICCAI,A,IA / ML,CARE@MICCAI,61,2014,2024,4,,False
MICCAI,A,IA / ML,Deep-Breath@MICCAI,58,2024,2025,2,,False
MICCAI,A,IA / ML,CSI@MICCAI,56,2015,2019,4,,False
MICCAI,A,IA / ML,DEMI@MICCAI,53,2023,2025,3,,False
MICCAI,A,IA / ML,PIPPI@MICCAI,52,2022,2025,4,,False
MICCAI,A,IA / ML,CaPTion@MICCAI,49,2022,2024,3,,False
MICCAI,A,IA / ML,BraTS-Lighthouse/AIMS-TBI@MICCAI (1),47,2025,2025,1,,False
MICCAI,A,IA / ML,BrainLes@MICCAI (1),47,2018,2018,1,,False
MICCAI,A,IA / ML,CNI@MICCAI,47,2017,2019,3,,False
MICCAI,A,IA / ML,CMRxRecon/MBAS/STACOM@MICCAI,46,2024,2024,1,,False
MICCAI,A,IA / ML,MILLanD@MICCAI,46,2022,2023,2,,False
MICCAI,A,IA / ML,BrainLes@MICCAI (2),45,2018,2018,1,,False
MICCAI,A,IA / ML,KiTS@MICCAI,43,2021,2023,2,,False
MICCAI,A,IA / ML,M&Ms and EMIDEC/STACOM@MICCAI,43,2020,2020,1,,False
MICCAI,A,IA / ML,COMPAY/OMIA@MICCAI,40,2018,2018,1,,False
MICCAI,A,IA / ML,MOVI@MICCAI,39,2022,2024,2,,False
MICCAI,A,IA / ML,CVII-STENT/LABELS@MICCAI,38,2017,2018,2,,False
MICCAI,A,IA / ML,EMA4MICCAI,36,2025,2025,1,,False
MICCAI,A,IA / ML,BraTS/CrossMoDA@MICCAI,35,2023,2023,1,,False
MICCAI,A,IA / ML,ISIC/Care-AI/MedAGI/DeCaF@MICCAI,35,2023,2023,1,,False
MICCAI,A,IA / ML,OR 2.0/CARE/CLIP/ISIC@MICCAI,34,2018,2018,1,,False
MICCAI,A,IA / ML,RAMBO+BIA+TIA@MICCAI,34,2018,2018,1,,False
MICCAI,A,IA / ML,ASMUS/PIPPI@MICCAI,33,2020,2020,1,,False
MICCAI,A,IA / ML,Agentic AI/CREATE/Clinical MLLMs@MICCAI,33,2025,2025,1,,False
MICCAI,A,IA / ML,MTSAIL/LEAF/AI4Treat/MMMI/REMIA@MICCAI,33,2023,2023,1,,False
MICCAI,A,IA / ML,BraTS-Lighthouse/AIMS-TBI@MICCAI (2),32,2025,2025,1,,False
MICCAI,A,IA / ML,CMMCA@MICCAI,32,2022,2023,2,,False
MICCAI,A,IA / ML,iMIMIC/MIL3ID/LABELS@MICCAI,30,2020,2020,1,,False
MICCAI,A,IA / ML,DART@MICCAI,29,2022,2023,2,,False
MICCAI,A,IA / ML,MLCN/RNO-AI@MICCAI,29,2020,2020,1,,False
