window,country_code,count,eu_den,share,rank,coverage_threshold
2016-2020,SE,1217,27789,0.04379430709993163,8,0.8
2016-2020,RO,112,27789,0.004030371729821152,19,0.8
2016-2020,LT,5,27789,0.00017992730936701573,28,0.8
2021-2025,SI,110,42485,0.0025891491114511003,21,0.8
2021-2025,FI,977,42485,0.022996351653524774,12,0.8
2021-2025,FR,5633,42485,0.13258797222549135,3,0.8
2021-2025,PL,1012,42485,0.023820171825350123,11,0.8
2021-2025,BE,1108,42485,0.026079792868071085,10,0.8
2021-2025,BG,84,42485,0.0019771684123808405,24,0.8
2021-2025,ES,1821,42485,0.04286218665411322,8,0.8
2021-2025,DK,1515,42485,0.03565964458044016,9,0.8
2021-2025,AT,2021,42485,0.04756973049311522,6,0.8
2021-2025,GR,604,42485,0.014216782393786043,14,0.8
2021-2025,PT,575,42485,0.013534188537130752,15,0.8
2021-2025,HR,49,42485,0.0011533482405554902,25,0.8
2021-2025,GB,13164,42485,0.3098505354831117,1,0.8
2021-2025,EE,118,42485,0.0027774508650111806,20,0.8
2021-2025,LV,10,42485,0.00023537719195010004,26,0.8
2021-2025,CY,90,42485,0.0021183947275509,23,0.8
2021-2025,IT,3684,42485,0.08671295751441685,4,0.8
2021-2025,HU,148,42485,0.0034835824408614804,18,0.8
2021-2025,IE,480,42485,0.011298105213604802,16,0.8
2021-2025,NL,3478,42485,0.0818641873602448,5,0.8
2021-2025,DE,11878,42485,0.27958102859832884,2,0.8
2021-2025,CZ,698,42485,0.016429327998116982,13,0.8
2021-2025,LU,308,42485,0.007249617512063081,17,0.8
2021-2025,MT,8,42485,0.00018830175356008002,27,0.8
2021-2025,SK,92,42485,0.0021654701659409204,22,0.8
2021-2025,SE,1973,42485,0.046439919971754735,7,0.8
2021-2025,RO,126,42485,0.0029657526185712605,19,0.8
2021-2025,LT,8,42485,0.00018830175356008002,27,0.8
