window,segment,eu_den,es_num,q_es,eu_total_segment_sum,w_segment
2021-2025,HCI | A*,2877,68,0.023635731664928744,47038,0.0611633147667843
2021-2025,IA / ML | A,8954,466,0.05204377931650659,47038,0.19035673285428803
2021-2025,IA / ML | A*,19418,634,0.032650118446801935,47038,0.4128151707130405
2021-2025,Ing. del Software | A,2149,134,0.062354583527221966,47038,0.045686466261320634
2021-2025,Ing. del Software | A*,566,20,0.0353356890459364,47038,0.012032824524852248
2021-2025,Redes | A,593,89,0.15008431703204048,47038,0.012606828521620816
2021-2025,Redes | A*,413,58,0.14043583535108958,47038,0.00878013520983035
2021-2025,Seguridad | A,1007,43,0.04270109235352532,47038,0.021408223138738892
2021-2025,Seguridad | A*,549,27,0.04918032786885246,47038,0.011671414600960925
2021-2025,Sistemas | A,2122,127,0.05984919886899152,47038,0.04511246226455207
2021-2025,Sistemas | A*,710,66,0.09295774647887324,47038,0.01509417917428462
2021-2025,Teoría | A,1349,35,0.025945144551519646,47038,0.02867894043114078
2021-2025,Teoría | A*,1838,34,0.018498367791077257,47038,0.03907479059483822
