venue,tier,tier_reason,tier_action,priority_level,priority_score,inferred_area,ever_astar,years_present,active_article_years_required,manual_include,manual_area,manual_dblp_key_or_booktitle,manual_notes
Hypertext,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,HIGH,18.4,HCI / CSCW / Documentos,False,5,12,,,,
FUZZ-IEEE,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,HIGH,17.6,Control / Señal / Ingeniería,False,6,13,,,,
ICARCV,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,HIGH,17.6,Control / Señal / Ingeniería,False,6,13,,,,
ITiCSE,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,HIGH,17.0,Educación / Learning technologies,False,7,15,,,,
ICONIP,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,HIGH,16.6,Control / Señal / Ingeniería,False,6,13,,,,
IJCNN,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,HIGH,16.6,Control / Señal / Ingeniería,False,6,13,,,,
ITS,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,HIGH,16.6,Educación / Learning technologies,False,6,13,,,,
JELIA,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,HIGH,16.6,Sin clasificar,False,8,18,,,,
DOOD,TIER2,área central pero evidencia insuficiente para inclusión automática,Revisión manual antes de decidir extracción,HIGH,16.4,Bases de datos / Web / Conocimiento,False,5,12,,,,
FODO,TIER2,área central pero evidencia insuficiente para inclusión automática,Revisión manual antes de decidir extracción,HIGH,16.4,Bases de datos / Web / Conocimiento,False,5,12,,,,
GRID,TIER2,área central pero evidencia insuficiente para inclusión automática,Revisión manual antes de decidir extracción,HIGH,16.4,Sistemas / HPC / Arquitectura,False,5,12,,,,
MassPar,TIER2,área central pero evidencia insuficiente para inclusión automática,Revisión manual antes de decidir extracción,HIGH,16.4,Sistemas / HPC / Arquitectura,False,5,12,,,,
CogSci,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,HIGH,16.0,Sin clasificar,False,7,15,,,,
ICCS,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,HIGH,16.0,Sin clasificar,False,7,15,,,,
ISRR,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,HIGH,16.0,Sin clasificar,False,7,15,,,,
ALIFE,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,HIGH,15.6,Sin clasificar,False,6,13,,,,
ICCCN,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,HIGH,15.6,Sin clasificar,False,6,13,,,,
ICSSP,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,HIGH,15.6,Sin clasificar,False,6,13,,,,
IDA,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,HIGH,15.6,Sin clasificar,False,6,13,,,,
IEEE Alife,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,HIGH,15.6,Sin clasificar,False,6,13,,,,
IEEE SSE,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,HIGH,15.6,Sin clasificar,False,6,13,,,,
Interact,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,HIGH,15.6,Sin clasificar,False,6,13,,,,
K-CAP,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,HIGH,15.6,Sin clasificar,False,6,13,,,,
LCN,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,HIGH,15.6,Sin clasificar,False,6,13,,,,
LCTES,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,HIGH,15.6,Sin clasificar,False,6,13,,,,
LPNMR,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,HIGH,15.6,Sin clasificar,False,6,13,,,,
MASCOTS,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,HIGH,15.6,Sin clasificar,False,6,13,,,,
Mobiquitous,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,HIGH,15.6,Sin clasificar,False,6,13,,,,
NOSSDAV,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,HIGH,15.6,Sin clasificar,False,6,13,,,,
Networking,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,HIGH,15.6,Sin clasificar,False,6,13,,,,
PACT,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,HIGH,15.6,Sin clasificar,False,6,13,,,,
PERFORMANCE,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,HIGH,15.6,Sin clasificar,False,6,13,,,,
PG,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,HIGH,15.6,Sin clasificar,False,6,13,,,,
SAS,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,HIGH,15.6,Sin clasificar,False,6,13,,,,
SCOPES,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,HIGH,15.6,Sin clasificar,False,6,13,,,,
SRDS,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,HIGH,15.6,Sin clasificar,False,6,13,,,,
SSPR,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,HIGH,15.6,Sin clasificar,False,6,13,,,,
SSTD,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,HIGH,15.6,Sin clasificar,False,6,13,,,,
TABLEAUX,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,HIGH,15.6,Sin clasificar,False,6,13,,,,
USITS,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,HIGH,15.6,Sin clasificar,False,6,13,,,,
WISE,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,HIGH,15.6,Sin clasificar,False,6,13,,,,
WoWMoM,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,HIGH,15.6,Sin clasificar,False,6,13,,,,
e-Science,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,HIGH,15.6,Sin clasificar,False,6,13,,,,
AMIA,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,HIGH,15.4,Bioinformática / Informática médica,False,5,12,,,,
CDC,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,HIGH,15.4,Control / Señal / Ingeniería,False,5,12,,,,
CSB,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,HIGH,15.4,Bioinformática / Informática médica,False,5,12,,,,
ECIS,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,HIGH,15.4,Sistemas de información,False,5,12,,,,
