venue,first_core_year,last_core_year,years_list,levels_list,in_current_2026_corpus
OCIS,2013,2018,2013|2014|2017|2018,A,False
OPENARCH,2008,2018,2008|2013|2014|2017|2018,A,False
P2P,2008,2008,2008,A,False
PACIS,2013,2018,2013|2014|2017|2018,A,False
PACT,2008,2020,2008|2013|2014|2017|2018|2020,A,False
PADL,2008,2008,2008,A,False
PADS,2008,2008,2008,A,False
PAKDD,2008,2021,2008|2013|2014|2017|2018|2020|2021,A,False
PDC,2008,2008,2008,A,False
PEPM,2008,2008,2008,A,False
PERFORMANCE,2008,2020,2008|2013|2014|2017|2018|2020,A,False
PERVASIVE,2008,2014,2008|2013|2014,A*,False
PG,2008,2020,2008|2013|2014|2017|2018|2020,A,False
PPoPP,2008,2021,2008|2013|2014|2017|2018|2020|2021,A,False
PRO-VE,2008,2008,2008,A,False
PT,2008,2018,2008|2013|2014|2017|2018,A,False
PacificVis,2014,2014,2014,A,False
QRS,2008,2008,2008,A,False
QoSA,2008,2013,2008|2013,A,False
RANDOM,2008,2021,2008|2013|2014|2017|2018|2020|2021,A,False
RECOMB,2008,2008,2008,A,False
RSS,2008,2018,2008|2013|2014|2017|2018,A*,False
RTA,2008,2018,2008|2013|2014|2017|2018,A,False
RoboCup,2008,2008,2008,A,False
SARA,2008,2008,2008,A,False
SAS,2008,2020,2008|2013|2014|2017|2018|2020,A,False
SCA,2008,2008,2008,A,False
SCOPES,2008,2020,2008|2013|2014|2017|2018|2020,A,False
SDSDI,2008,2018,2008|2013|2014|2017|2018,A,False
SENSYS,2008,2023,2008|2013|2014|2017|2018|2020|2021|2023,A*,False
SMS,2008,2018,2008|2013|2014|2017|2018,A,False
SPAA,2008,2021,2008|2013|2014|2017|2018|2020|2021,A,False
SPICE,2008,2017,2008|2013|2014|2017,A,False
SRDS,2008,2020,2008|2013|2014|2017|2018|2020,A,False
SSDBM,2008,2020,2008|2013|2014|2017|2018|2020,A,False
SSPR,2008,2020,2008|2013|2014|2017|2018|2020,A,False
SSR,2008,2018,2008|2013|2014|2017|2018,A,False
SSTD,2008,2020,2008|2013|2014|2017|2018|2020,A,False
SWAT,2008,2008,2008,A,False
SecureComm,2013,2014,2013|2014,A,False
TABLEAUX,2008,2020,2008|2013|2014|2017|2018|2020,A,False
TARK,2008,2023,2008|2013|2014|2017|2018|2020|2021|2023,A,False
TCC,2013,2023,2013|2014|2017|2018|2020|2021|2023,A,False
TEI,2013,2021,2013|2014|2017|2018|2020|2021,A,False
TIME,2008,2013,2008|2013,A,False
TPDL,2008,2017,2008|2013|2014|2017,A,False
TREC,2008,2008,2008,A,False
TrustCom,2013,2020,2013|2014|2017|2018|2020,A,False
USITS,2008,2020,2008|2013|2014|2017|2018|2020,A,False
UbiComp,2008,2018,2008|2013|2014|2017|2018,A*,False
VCIP,2008,2008,2008,A,False
VEE,2013,2020,2013|2014|2017|2018|2020,A,False
VISIGRAPP,2013,2013,2013,A,False
VL/HCC,2008,2013,2008|2013,A,False
VLSI,2008,2018,2008|2013|2014|2017|2018,A,False
VMCAI,2008,2008,2008,A,False
VRST,2013,2023,2013|2014|2017|2018|2020|2021|2023,A,False
WADS,2008,2013,2008|2013,A,False
WG,2013,2021,2013|2014|2017|2018|2020|2021,A,False
WISE,2008,2020,2008|2013|2014|2017|2018|2020,A,False
WoWMoM,2008,2020,2008|2013|2014|2017|2018|2020,A,False
e-Science,2008,2020,2008|2013|2014|2017|2018|2020,A,False
