window,country_code,complete_count,fractional_count,eu_complete_den,eu_fractional_den,complete_share_eu,fractional_share_eu,complete_rank,fractional_rank
2021-2025,FR,6337,4201.291738816739,47038,35705.55937257187,0.13472086398231217,0.11766491864692834,3,3
2021-2025,GB,14709,8701.884690309691,47038,35705.55937257187,0.31270462179514436,0.24371231940408317,1,1
2021-2025,GR,648,395.55833333333334,47038,35705.55937257187,0.013776095922445683,0.011078340188032216,14,15
2021-2025,HR,51,33.28333333333333,47038,35705.55937257187,0.0010842297716739658,0.0009321610953083335,25,25
2021-2025,HU,169,105.98928571428571,47038,35705.55937257187,0.003592839831625494,0.0029684252978180218,18,18
2021-2025,IE,542,334.1468253968254,47038,35705.55937257187,0.011522598749946851,0.009358397719250094,16,16
2021-2025,IT,4069,2667.8658660783663,47038,35705.55937257187,0.08650452825375228,0.07471850078696023,4,4
2021-2025,LT,10,6.878787878787879,47038,35705.55937257187,0.00021259407287724819,0.00019265313300404402,28,27
2021-2025,LU,324,191.52811355311354,47038,35705.55937257187,0.006888047961222841,0.005364097830105435,17,17
2021-2025,LV,11,6.166666666666666,47038,35705.55937257187,0.000233853480164973,0.0001727088659309381,26,28
2021-2025,MT,11,6.916666666666667,47038,35705.55937257187,0.000233853480164973,0.00019371399827389007,26,26
2021-2025,NL,3865,2344.746060883561,47038,35705.55937257187,0.08216760916705643,0.06566893509263257,5,5
2021-2025,PL,1160,662.9662698412699,47038,35705.55937257187,0.02466091245376079,0.01856759231590541,11,11
2021-2025,PT,615,408.5636655011655,47038,35705.55937257187,0.013074535481950764,0.011442578485831368,15,14
2021-2025,RO,141,94.15,47038,35705.55937257187,0.0029975764275691993,0.0026368442801185665,19,19
2021-2025,SE,2187,1266.9481823731824,47038,35705.55937257187,0.04649432373825418,0.035483218989881465,7,7
2021-2025,SI,123,70.55952380952381,47038,35705.55937257187,0.0026149070963901525,0.0019761495142329544,21,21
2021-2025,SK,110,48.00555555555555,47038,35705.55937257187,0.00233853480164973,0.0013444840635218345,22,23
