venue,first_core_year,last_core_year,years_list,levels_list,in_current_2026_corpus,min_year,max_year,n_papers
MICRO,2008,2026,2008|2013|2014|2017|2018|2026,A|A*,True,2001,2025,1498
MMSys,2026,2026,2026,A,True,2010,2025,709
MOBICOM,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A*,True,2001,2025,1930
MODELS,2008,2026,2008|2018|2020|2021|2023|2026,A,True,2006,2025,815
MSR,2018,2026,2018|2020|2021|2023|2026,A,True,2004,2025,1303
MSWIM,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A,True,2001,2025,1124
Middleware,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A,True,2001,2025,595
Mobisys,2008,2026,2008|2023|2026,A,True,2003,2025,1378
NAACL,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A,True,2001,2024,1643
NDSS,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A|A*,True,2001,2025,1426
NeurIPS,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A*,True,2001,2024,22876
OOPSLA,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A|A*,True,2001,2016,665
OSDI,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A*,True,2002,2025,611
PERCOM,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A*,True,2003,2025,890
PETS,2021,2026,2021|2023|2026,A,True,2011,2025,1011
PLDI,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A*,True,2001,2022,1066
PODC,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A*,True,2001,2025,1596
PODS,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A*,True,2001,2023,735
POPL,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A*,True,2001,2017,719
PPSN,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A,True,2002,2016,616
RAID,2008,2026,2008|2014|2017|2018|2020|2021|2023|2026,A,True,2002,2025,690
RE,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A,True,2001,2025,1548
RTAS,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A,True,2014,2025,432
RTSS,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A|A*,True,2001,2025,1074
RecSys,2021,2026,2021|2023|2026,A,True,2007,2025,2169
SANER,2021,2026,2021|2023|2026,A,True,2001,2024,1493
SAT,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A,True,2003,2025,824
SC,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A,True,2001,2025,2346
SDM,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A,True,2001,2025,2055
SEAMS,2021,2026,2021|2023|2026,A,True,2021,2025,124
SIGCOMM,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A*,True,2001,2025,1388
SIGCSE,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A,True,2001,2021,4680
