venue,first_core_year,last_core_year,years_present,years_list,levels_list,astar_years,a_years,ever_astar,active_article_years_required,first_article_year_required,last_article_year_required,required_core_years,required_levels,inferred_area,relevance_class,priority_score,priority_level,recommended_action,rationale,priority_sort,tier,tier_reason,tier_action,tier_sort
SPAA,2008,2021,7,2008|2013|2014|2017|2018|2020|2021,A,0,7,False,15,2008,2022,2008|2013|2014|2017|2018|2020|2021,A,Sistemas / HPC / Arquitectura,likely_core_cs,19.0,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 7 versiones CORE; 15 años-artículo requeridos; relevancia=likely_core_cs; área=Sistemas / HPC / Arquitectura,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
PERVASIVE,2008,2014,3,2008|2013|2014,A*,3,0,True,9,2008,2016,2008|2013|2014,A*,HCI / CSCW / Documentos,likely_core_cs,18.8,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,A* histórico; 3 versiones CORE; 9 años-artículo requeridos; relevancia=likely_core_cs; área=HCI / CSCW / Documentos,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
AiML,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Teoría / Métodos formales / PL,likely_core_cs,18.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=likely_core_cs; área=Teoría / Métodos formales / PL,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
SSDBM,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Bases de datos / Web / Conocimiento,likely_core_cs,18.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=likely_core_cs; área=Bases de datos / Web / Conocimiento,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
AOSD,2008,2018,5,2008|2013|2014|2017|2018,A,0,5,False,12,2008,2019,2008|2013|2014|2017|2018,A,Ingeniería del Software / Servicios,high_seed,18.4,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 5 versiones CORE; 12 años-artículo requeridos; relevancia=high_seed; área=Ingeniería del Software / Servicios,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
ASAP,2008,2018,5,2008|2013|2014|2017|2018,A,0,5,False,12,2008,2019,2008|2013|2014|2017|2018,A,Sistemas / HPC / Arquitectura,high_seed,18.4,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 5 versiones CORE; 12 años-artículo requeridos; relevancia=high_seed; área=Sistemas / HPC / Arquitectura,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
COCOON,2008,2018,5,2008|2013|2014|2017|2018,A,0,5,False,12,2008,2019,2008|2013|2014|2017|2018,A,Teoría / Métodos formales / PL,high_seed,18.4,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 5 versiones CORE; 12 años-artículo requeridos; relevancia=high_seed; área=Teoría / Métodos formales / PL,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
ECSA,2014,2023,6,2014|2017|2018|2020|2021|2023,A,0,6,False,12,2014,2025,2014|2017|2018|2020|2021|2023,A,Ingeniería del Software / Servicios,high_seed,18.4,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 12 años-artículo requeridos; relevancia=high_seed; área=Ingeniería del Software / Servicios,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
EUROGRAPH,2008,2018,5,2008|2013|2014|2017|2018,A,0,5,False,12,2008,2019,2008|2013|2014|2017|2018,A,Visión / Imagen / Gráficos,high_seed,18.4,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 5 versiones CORE; 12 años-artículo requeridos; relevancia=high_seed; área=Visión / Imagen / Gráficos,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
FLOPS,2008,2018,5,2008|2013|2014|2017|2018,A,0,5,False,12,2008,2019,2008|2013|2014|2017|2018,A,Teoría / Métodos formales / PL,high_seed,18.4,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 5 versiones CORE; 12 años-artículo requeridos; relevancia=high_seed; área=Teoría / Métodos formales / PL,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
FOSSACS,2014,2023,6,2014|2017|2018|2020|2021|2023,A,0,6,False,12,2014,2025,2014|2017|2018|2020|2021|2023,A,Teoría / Métodos formales / PL,high_seed,18.4,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 12 años-artículo requeridos; relevancia=high_seed; área=Teoría / Métodos formales / PL,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
HOTNETS,2008,2018,5,2008|2013|2014|2017|2018,A,0,5,False,12,2008,2019,2008|2013|2014|2017|2018,A,Sistemas / HPC / Arquitectura,high_seed,18.4,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 5 versiones CORE; 12 años-artículo requeridos; relevancia=high_seed; área=Sistemas / HPC / Arquitectura,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
I3DG,2008,2013,2,2008|2013,A*,2,0,True,6,2008,2013,2008|2013,A*,Visión / Imagen / Gráficos,high_seed,18.2,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,A* histórico; 2 versiones CORE; 6 años-artículo requeridos; relevancia=high_seed; área=Visión / Imagen / Gráficos,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
Coordination,2008,2017,4,2008|2013|2014|2017,A,0,4,False,10,2008,2017,2008|2013|2014|2017,A,Ingeniería del Software / Servicios,high_seed,17.0,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 4 versiones CORE; 10 años-artículo requeridos; relevancia=high_seed; área=Ingeniería del Software / Servicios,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
DBSEC,2008,2017,4,2008|2013|2014|2017,A,0,4,False,10,2008,2017,2008|2013|2014|2017,A,Bases de datos / Web / Conocimiento,high_seed,17.0,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 4 versiones CORE; 10 años-artículo requeridos; relevancia=high_seed; área=Bases de datos / Web / Conocimiento,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
FORTE,2008,2017,4,2008|2013|2014|2017,A,0,4,False,10,2008,2017,2008|2013|2014|2017,A,Ingeniería del Software / Servicios,high_seed,17.0,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 4 versiones CORE; 10 años-artículo requeridos; relevancia=high_seed; área=Ingeniería del Software / Servicios,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
FCT,2013,2020,5,2013|2014|2017|2018|2020,A,0,5,False,8,2013,2020,2013|2014|2017|2018|2020,A,Teoría / Métodos formales / PL,high_seed,16.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 5 versiones CORE; 8 años-artículo requeridos; relevancia=high_seed; área=Teoría / Métodos formales / PL,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
FOIS,2013,2020,5,2013|2014|2017|2018|2020,A,0,5,False,8,2013,2020,2013|2014|2017|2018|2020,A,Bases de datos / Web / Conocimiento,high_seed,16.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 5 versiones CORE; 8 años-artículo requeridos; relevancia=high_seed; área=Bases de datos / Web / Conocimiento,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
MOBIHOC,2008,2023,8,2008|2013|2014|2017|2018|2020|2021|2023,A,0,8,False,18,2008,2025,2008|2013|2014|2017|2018|2020|2021|2023,A,Sin clasificar,unknown,16.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 8 versiones CORE; 18 años-artículo requeridos; relevancia=unknown; área=Sin clasificar,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
ECML,2008,2014,3,2008|2013|2014,A,0,3,False,9,2008,2016,2008|2013|2014,A,Machine Learning / Data Mining,high_seed,14.8,MEDIUM,Revisión manual antes de extraer DBLP,solo A histórico; 3 versiones CORE; 9 años-artículo requeridos; relevancia=high_seed; área=Machine Learning / Data Mining,1,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
