window,scenario,country_code,count,eu_den,share,rank
2006-2010,optimistic_ES,CZ,271,33316,0.008134229799495738,15
2006-2010,optimistic_ES,LT,3,33316,9.00468243486613e-05,28
2006-2010,optimistic_ES,SE,735,33316,0.02206147196542202,8
2006-2010,optimistic_ES,PL,210,33316,0.0063032777044062915,16
2006-2010,pessimistic_ES,AT,648,33316,0.019450114059310842,9
2006-2010,pessimistic_ES,MT,8,33316,0.00024012486492976348,26
2006-2010,pessimistic_ES,BE,743,33316,0.022301596830351784,7
2006-2010,pessimistic_ES,RO,61,33316,0.0018309520950894466,20
2006-2010,pessimistic_ES,NL,1614,33316,0.04844519149957978,6
2006-2010,pessimistic_ES,DE,5350,33316,0.16058350342177932,1
2006-2010,pessimistic_ES,GR,563,33316,0.016898787369432105,10
2006-2010,pessimistic_ES,ES,1680,33316,0.05042622163525033,5
2006-2010,pessimistic_ES,CY,38,33316,0.0011405931084163764,21
2006-2010,pessimistic_ES,HU,166,33316,0.004982590947292592,17
2006-2010,pessimistic_ES,GB,4855,33316,0.14572577740425022,2
2006-2010,pessimistic_ES,BG,13,33316,0.00039020290551086565,25
2006-2010,pessimistic_ES,PT,411,33316,0.012336414935766598,13
2006-2010,pessimistic_ES,SK,29,33316,0.0008704526353703927,23
2006-2010,pessimistic_ES,FI,525,33316,0.01575819426101573,11
2006-2010,pessimistic_ES,IE,402,33316,0.012066274462720615,14
2006-2010,pessimistic_ES,SI,71,33316,0.002131108176251651,18
2006-2010,pessimistic_ES,LU,69,33316,0.0020710769600192098,19
2006-2010,pessimistic_ES,LV,6,33316,0.0001800936486973226,27
2006-2010,pessimistic_ES,EE,32,33316,0.0009604994597190539,22
2006-2010,pessimistic_ES,HR,19,33316,0.0005702965542081882,24
2006-2010,pessimistic_ES,FR,4093,33316,0.12285388401969023,3
2006-2010,pessimistic_ES,DK,423,33316,0.012696602233161243,12
2006-2010,pessimistic_ES,IT,2132,33316,0.06399327650378196,4
2006-2010,pessimistic_ES,CZ,271,33316,0.008134229799495738,15
2006-2010,pessimistic_ES,LT,3,33316,9.00468243486613e-05,28
2006-2010,pessimistic_ES,SE,735,33316,0.02206147196542202,8
2006-2010,pessimistic_ES,PL,210,33316,0.0063032777044062915,16
2011-2015,observed,AT,1106,26136,0.04231711049892868,7
2011-2015,observed,MT,9,26136,0.0003443526170798898,27
