window,scenario,country_code,count,eu_den,share,rank
2016-2020,optimistic_ES,LT,5,50705,9.860960457548565e-05,28
2016-2020,optimistic_ES,SE,1332,50705,0.026269598658909377,8
2016-2020,optimistic_ES,PL,550,50705,0.010847056503303422,15
2016-2020,pessimistic_ES,AT,1469,50705,0.028971501824277685,7
2016-2020,pessimistic_ES,MT,14,50705,0.0002761068928113598,26
2016-2020,pessimistic_ES,BE,903,50705,0.01780889458633271,10
2016-2020,pessimistic_ES,RO,126,50705,0.0024849620353022384,19
2016-2020,pessimistic_ES,NL,2370,50705,0.0467409525687802,5
2016-2020,pessimistic_ES,DE,8270,50705,0.16310028596785328,2
2016-2020,pessimistic_ES,GR,596,50705,0.01175426486539789,13
2016-2020,pessimistic_ES,ES,1536,50705,0.030292870525589193,6
2016-2020,pessimistic_ES,CY,73,50705,0.0014397002268020905,22
2016-2020,pessimistic_ES,HU,165,50705,0.0032541169509910264,18
2016-2020,pessimistic_ES,GB,8966,50705,0.17682674292476086,1
2016-2020,pessimistic_ES,BG,25,50705,0.0004930480228774283,25
2016-2020,pessimistic_ES,PT,557,50705,0.010985109949709101,14
2016-2020,pessimistic_ES,SK,68,50705,0.001341090622226605,23
2016-2020,pessimistic_ES,FI,842,50705,0.016605857410511782,11
2016-2020,pessimistic_ES,IE,445,50705,0.008776254807218224,16
2016-2020,pessimistic_ES,SI,93,50705,0.001834138645104033,20
2016-2020,pessimistic_ES,LU,217,50705,0.004279656838576077,17
2016-2020,pessimistic_ES,LV,12,50705,0.00023666305098116557,27
2016-2020,pessimistic_ES,EE,86,50705,0.0016960851986983533,21
2016-2020,pessimistic_ES,HR,30,50705,0.0005916576274529139,24
2016-2020,pessimistic_ES,FR,4674,50705,0.092180258357164,3
2016-2020,pessimistic_ES,DK,1021,50705,0.02013608125431417,9
2016-2020,pessimistic_ES,IT,2796,50705,0.055142490878611575,4
2016-2020,pessimistic_ES,CZ,615,50705,0.012128981362784735,12
2016-2020,pessimistic_ES,LT,5,50705,9.860960457548565e-05,28
2016-2020,pessimistic_ES,SE,1332,50705,0.026269598658909377,8
2016-2020,pessimistic_ES,PL,550,50705,0.010847056503303422,15
2021-2025,observed,AT,2217,47038,0.047132105956885925,6
2021-2025,observed,MT,11,47038,0.000233853480164973,26
