window,denominator_group,country_code,count,denominator,share
2006-2010,world_resolved,BE,743,63820,0.011642118458163585
2006-2010,world_resolved,BF,0,63820,0.0
2006-2010,world_resolved,BG,13,63820,0.0002036979003447195
2006-2010,world_resolved,BH,1,63820,1.5669069257286116e-05
2006-2010,world_resolved,BI,32,63820,0.0005014102162331557
2006-2010,world_resolved,BJ,0,63820,0.0
2006-2010,world_resolved,BM,18,63820,0.0002820432466311501
2006-2010,world_resolved,BN,7,63820,0.00010968348480100282
2006-2010,world_resolved,BO,0,63820,0.0
2006-2010,world_resolved,BR,486,63820,0.007615167659041053
2006-2010,world_resolved,BS,1,63820,1.5669069257286116e-05
2006-2010,world_resolved,BW,1,63820,1.5669069257286116e-05
2006-2010,world_resolved,BY,8,63820,0.00012535255405828893
2006-2010,world_resolved,CA,3898,63820,0.06107803196490128
2006-2010,world_resolved,CD,0,63820,0.0
2006-2010,world_resolved,CH,1903,63820,0.029818238796615482
2006-2010,world_resolved,CI,0,63820,0.0
2006-2010,world_resolved,CL,67,63820,0.00104982764023817
2006-2010,world_resolved,CM,1,63820,1.5669069257286116e-05
2006-2010,world_resolved,CN,4189,63820,0.06563773111877154
2006-2010,world_resolved,CO,38,63820,0.0005954246317768725
2006-2010,world_resolved,CR,2,63820,3.133813851457223e-05
2006-2010,world_resolved,CU,6,63820,9.40144155437167e-05
2006-2010,world_resolved,CX,0,63820,0.0
2006-2010,world_resolved,CY,38,63820,0.0005954246317768725
2006-2010,world_resolved,CZ,271,63820,0.0042463177687245375
2006-2010,world_resolved,DE,5350,63820,0.08382952052648072
2006-2010,world_resolved,DJ,1,63820,1.5669069257286116e-05
2006-2010,world_resolved,DK,423,63820,0.006628016295832028
2006-2010,world_resolved,DO,7,63820,0.00010968348480100282
2006-2010,world_resolved,DZ,19,63820,0.00029771231588843623
2006-2010,world_resolved,EC,3,63820,4.700720777185835e-05
2006-2010,world_resolved,EE,32,63820,0.0005014102162331557
2006-2010,world_resolved,EG,47,63820,0.0007364462550924475
2006-2010,world_resolved,ES,1680,63820,0.026324036352240676
2006-2010,world_resolved,ET,1,63820,1.5669069257286116e-05
2006-2010,world_resolved,FI,525,63820,0.008226261360075211
2006-2010,world_resolved,FJ,2,63820,3.133813851457223e-05
2006-2010,world_resolved,FM,0,63820,0.0
2006-2010,world_resolved,FO,0,63820,0.0
2006-2010,world_resolved,FR,4093,63820,0.06413350047007207
2006-2010,world_resolved,GB,4855,63820,0.0760733312441241
2006-2010,world_resolved,GE,0,63820,0.0
2006-2010,world_resolved,GF,1,63820,1.5669069257286116e-05
2006-2010,world_resolved,GH,1,63820,1.5669069257286116e-05
2006-2010,world_resolved,GI,0,63820,0.0
2006-2010,world_resolved,GL,0,63820,0.0
2006-2010,world_resolved,GM,0,63820,0.0
2006-2010,world_resolved,GN,0,63820,0.0
2006-2010,world_resolved,GP,0,63820,0.0
2006-2010,world_resolved,GR,563,63820,0.008821685991852084
2006-2010,world_resolved,GT,0,63820,0.0
2006-2010,world_resolved,GY,0,63820,0.0
2006-2010,world_resolved,HK,965,63820,0.015120651833281103
2006-2010,world_resolved,HN,0,63820,0.0
2006-2010,world_resolved,HR,19,63820,0.00029771231588843623
2006-2010,world_resolved,HU,166,63820,0.0026010654967094956
2006-2010,world_resolved,ID,2,63820,3.133813851457223e-05
2006-2010,world_resolved,IE,402,63820,0.0062989658414290195
2006-2010,world_resolved,IL,1431,63820,0.022422438107176434
2006-2010,world_resolved,IN,996,63820,0.015606392980256973
2006-2010,world_resolved,IO,0,63820,0.0
2006-2010,world_resolved,IQ,0,63820,0.0
2006-2010,world_resolved,IR,169,63820,0.002648072704481354
2006-2010,world_resolved,IS,18,63820,0.0002820432466311501
2006-2010,world_resolved,IT,2132,63820,0.033406455656534
2006-2010,world_resolved,JM,7,63820,0.00010968348480100282
2006-2010,world_resolved,JO,11,63820,0.0001723597618301473
2006-2010,world_resolved,JP,4249,63820,0.0665778752742087
2006-2010,world_resolved,KE,3,63820,4.700720777185835e-05
2006-2010,world_resolved,KG,0,63820,0.0
2006-2010,world_resolved,KH,4,63820,6.267627702914446e-05
2006-2010,world_resolved,KN,0,63820,0.0
2006-2010,world_resolved,KP,1,63820,1.5669069257286116e-05
2006-2010,world_resolved,KR,1193,63820,0.01869319962394234
2006-2010,world_resolved,KW,11,63820,0.0001723597618301473
2006-2010,world_resolved,KY,0,63820,0.0
2006-2010,world_resolved,KZ,0,63820,0.0
