window,country_code,count,eu_den,share,rank,coverage_threshold
2021-2025,MT,11,46037,0.00023893824532441297,26,0.3
2021-2025,SK,107,46037,0.0023242174772465625,22,0.3
2021-2025,SE,2151,46037,0.04672328779025566,7,0.3
2021-2025,RO,135,46037,0.0029324239198905227,19,0.3
2021-2025,LT,10,46037,0.00021721658665855724,28,0.3
2001-2005,SI,58,13099,0.004427818917474616,18,0.5
2001-2005,FI,307,13099,0.023436903580425987,11,0.5
2001-2005,FR,2404,13099,0.18352545995877548,3,0.5
2001-2005,PL,149,13099,0.011374914115581341,16,0.5
2001-2005,BE,421,13099,0.03213985800442782,8,0.5
2001-2005,BG,22,13099,0.0016795175204214062,22,0.5
2001-2005,ES,869,13099,0.06634094205664555,6,0.5
2001-2005,DK,245,13099,0.01870371784105657,12,0.5
2001-2005,AT,316,13099,0.024123978929689288,10,0.5
2001-2005,GR,324,13099,0.024734712573478892,9,0.5
2001-2005,PT,202,13099,0.015421024505687457,13,0.5
2001-2005,HR,9,13099,0.0006870753492633025,26,0.5
2001-2005,GB,2646,13099,0.20200015268341096,2,0.5
2001-2005,EE,14,13099,0.001068783876631804,23,0.5
2001-2005,LV,11,13099,0.0008397587602107031,25,0.5
2001-2005,CY,23,13099,0.0017558592258951065,21,0.5
2001-2005,IT,1451,13099,0.11077181464233911,4,0.5
2001-2005,HU,121,13099,0.009237346362317734,17,0.5
2001-2005,IE,194,13099,0.014810290861897855,14,0.5
2001-2005,NL,981,13099,0.07489121306969998,5,0.5
2001-2005,DE,2950,13099,0.22520803114741583,1,0.5
2001-2005,CZ,156,13099,0.011909306053897244,15,0.5
2001-2005,LU,12,13099,0.0009161004656844034,24,0.5
2001-2005,MT,1,13099,7.634170547370028e-05,28,0.5
2001-2005,SK,28,13099,0.002137567753263608,20,0.5
2001-2005,SE,579,13099,0.044201847469272464,7,0.5
2001-2005,RO,29,13099,0.002213909458737308,19,0.5
2001-2005,LT,4,13099,0.00030536682189480114,27,0.5
2006-2010,SI,68,21639,0.003142474236332548,19,0.5
2006-2010,FI,522,21639,0.02412311104949397,11,0.5
2006-2010,FR,4035,21639,0.18646887564120337,3,0.5
2006-2010,PL,207,21639,0.009566061278247608,16,0.5
2006-2010,BE,735,21639,0.033966449466241506,7,0.5
2006-2010,BG,12,21639,0.0005545542769998614,25,0.5
2006-2010,ES,1657,21639,0.07657470308239753,5,0.5
2006-2010,DK,420,21639,0.01940939969499515,12,0.5
2006-2010,AT,639,21639,0.029530015250242618,9,0.5
2006-2010,GR,554,21639,0.025601922454826932,10,0.5
2006-2010,PT,411,21639,0.018993483987245253,13,0.5
2006-2010,HR,19,21639,0.0008780442719164472,24,0.5
2006-2010,GB,4701,21639,0.21724663801469568,2,0.5
2006-2010,EE,32,21639,0.0014788114053329636,22,0.5
2006-2010,LV,6,21639,0.0002772771384999307,27,0.5
2006-2010,CY,38,21639,0.0017560885438328943,21,0.5
2006-2010,IT,2090,21639,0.09658486991080918,4,0.5
2006-2010,HU,163,21639,0.0075326955959147835,17,0.5
2006-2010,IE,391,21639,0.01806922685891215,14,0.5
2006-2010,NL,1600,21639,0.07394057026664819,6,0.5
2006-2010,DE,5239,21639,0.24210915476685613,1,0.5
2006-2010,CZ,268,21639,0.01238504551966357,15,0.5
2006-2010,LU,69,21639,0.003188687092749203,18,0.5
2006-2010,MT,8,21639,0.0003697028513332409,26,0.5
2006-2010,SK,29,21639,0.0013401728360829983,23,0.5
2006-2010,SE,729,21639,0.03368917232774158,8,0.5
2006-2010,RO,60,21639,0.002772771384999307,20,0.5
2006-2010,LT,3,21639,0.00013863856924996534,28,0.5
2011-2015,SI,66,24685,0.0026736884747822565,21,0.5
2011-2015,FI,504,24685,0.020417257443791775,13,0.5
2011-2015,FR,4268,24685,0.17289852136925257,3,0.5
2011-2015,PL,277,24685,0.011221389507798258,16,0.5
2011-2015,BE,832,24685,0.03370467895483087,9,0.5
2011-2015,BG,16,24685,0.0006481669029775167,26,0.5
2011-2015,ES,1806,24685,0.07316183917358719,5,0.5
2011-2015,DK,620,24685,0.025116467490378772,11,0.5
2011-2015,AT,1076,24685,0.043589224225238,7,0.5
2011-2015,GR,648,24685,0.02625075957058943,10,0.5
2011-2015,PT,538,24685,0.021794612112619,12,0.5
2011-2015,HR,31,24685,0.0012558233745189385,24,0.5
2011-2015,GB,5562,24685,0.22531901964755924,2,0.5
2011-2015,EE,68,24685,0.0027547093376544462,20,0.5
2011-2015,LV,19,24685,0.0007696981972858011,25,0.5
2011-2015,CY,51,24685,0.0020660320032408344,22,0.5
2011-2015,IT,2496,24685,0.1011140368644926,4,0.5
2011-2015,HU,164,24685,0.006643710755519546,17,0.5
