venue,window,area,level,total_papers,resolved_papers,coverage
STOC,2006-2010,Teoría,A*,403,402.0,0.9975186104218362
STOC,2011-2015,Teoría,A*,457,457.0,1.0
STOC,2016-2020,Teoría,A*,541,541.0,1.0
STOC,2021-2025,Teoría,A*,849,849.0,1.0
SiggraphA,2006-2010,HCI,A*,358,239.0,0.6675977653631285
SiggraphA,2011-2015,HCI,A*,308,155.0,0.5032467532467533
SiggraphA,2016-2020,HCI,A*,283,263.0,0.9293286219081273
SiggraphA,2021-2025,HCI,A*,1111,1103.0,0.9927992799279928
SoCG,2011-2015,Teoría,A*,191,186.0,0.9738219895287958
SoCG,2016-2020,Teoría,A*,372,302.0,0.8118279569892473
SoCG,2021-2025,Teoría,A*,388,335.0,0.8634020618556701
TACAS,2001-2005,Ing. del Software,A,204,198.0,0.9705882352941176
TACAS,2006-2010,Ing. del Software,A,203,199.0,0.9802955665024631
TACAS,2011-2015,Ing. del Software,A,252,252.0,1.0
TACAS,2016-2020,Ing. del Software,A,69,67.0,0.9710144927536232
UAI,2001-2005,IA / ML,A,375,25.0,0.06666666666666667
UAI,2006-2010,IA / ML,A,363,13.0,0.03581267217630854
UAI,2011-2015,IA / ML,A,463,55.0,0.11879049676025918
UAI,2016-2020,IA / ML,A,539,212.0,0.39332096474953615
UAI,2021-2025,IA / ML,A,1109,458.0,0.41298467087466184
UIST,2001-2005,HCI,A*,153,152.0,0.9934640522875817
UIST,2006-2010,HCI,A*,190,190.0,1.0
UIST,2011-2015,HCI,A*,343,342.0,0.9970845481049563
UIST,2016-2020,HCI,A*,434,433.0,0.9976958525345622
UIST,2021-2025,HCI,A*,670,670.0,1.0
UMAP,2006-2010,HCI,A,101,100.0,0.9900990099009901
UMAP,2011-2015,HCI,A,229,226.0,0.9868995633187773
UMAP,2016-2020,HCI,A,312,312.0,1.0
UMAP,2021-2025,HCI,A,214,214.0,1.0
USENIX,2006-2010,Sistemas,A,141,0.0,0.0
USENIX,2011-2015,Sistemas,A,200,1.0,0.005
USENIX,2016-2020,Sistemas,A,343,15.0,0.043731778425655975
