scenario,window,area,ES,EU27_UK,ES_share
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2021-2025,Bases de datos,86,2140,0.04018691588785047
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2021-2025,HCI,99,3734,0.026513122656668452
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2021-2025,IA / ML,1100,28372,0.03877061892006203
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2021-2025,IA/ML,72,1496,0.0481283422459893
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2021-2025,Ing. del Software,154,2715,0.056721915285451195
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2021-2025,Redes,147,1006,0.14612326043737575
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2021-2025,Seguridad,70,1556,0.04498714652956298
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2021-2025,Sistemas,193,2832,0.0681497175141243
WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,2021-2025,Teoría,69,3187,0.02165045497332915
WWW_as_IAML,2001-2005,Bases de datos,68,1270,0.05354330708661417
WWW_as_IAML,2001-2005,Bioinformática,0,9,0.0
WWW_as_IAML,2001-2005,HCI,14,1061,0.013195098963242224
WWW_as_IAML,2001-2005,IA / ML,449,5293,0.0848290194596637
WWW_as_IAML,2001-2005,IA/ML,4,107,0.037383177570093455
WWW_as_IAML,2001-2005,Ing. del Software,81,1468,0.055177111716621256
WWW_as_IAML,2001-2005,Redes,9,429,0.02097902097902098
WWW_as_IAML,2001-2005,Seguridad,2,455,0.004395604395604396
WWW_as_IAML,2001-2005,Sistemas,234,2331,0.10038610038610038
WWW_as_IAML,2001-2005,Teoría,106,1817,0.058337919647771054
WWW_as_IAML,2006-2010,Bases de datos,194,2277,0.08519982433025912
WWW_as_IAML,2006-2010,Bioinformática,0,14,0.0
WWW_as_IAML,2006-2010,HCI,64,1889,0.03388035997882478
WWW_as_IAML,2006-2010,IA / ML,816,9144,0.08923884514435695
WWW_as_IAML,2006-2010,IA/ML,41,312,0.13141025641025642
WWW_as_IAML,2006-2010,Ing. del Software,147,2424,0.06064356435643564
WWW_as_IAML,2006-2010,Redes,57,934,0.061027837259100645
WWW_as_IAML,2006-2010,Seguridad,30,782,0.03836317135549872
WWW_as_IAML,2006-2010,Sistemas,264,2754,0.09586056644880174
WWW_as_IAML,2006-2010,Teoría,67,1518,0.04413702239789196
WWW_as_IAML,2011-2015,Bases de datos,292,2756,0.10595065312046444
WWW_as_IAML,2011-2015,HCI,122,2911,0.04190999656475438
WWW_as_IAML,2011-2015,IA / ML,827,10640,0.07772556390977443
WWW_as_IAML,2011-2015,IA/ML,25,149,0.16778523489932887
WWW_as_IAML,2011-2015,Ing. del Software,225,3258,0.06906077348066299
WWW_as_IAML,2011-2015,Redes,93,1000,0.093
WWW_as_IAML,2011-2015,Seguridad,52,965,0.0538860103626943
WWW_as_IAML,2011-2015,Sistemas,208,2484,0.08373590982286634
WWW_as_IAML,2011-2015,Teoría,65,1973,0.03294475418144957
WWW_as_IAML,2016-2020,Bases de datos,133,2678,0.049663928304705
WWW_as_IAML,2016-2020,HCI,66,3291,0.020054694621695533
WWW_as_IAML,2016-2020,IA / ML,780,15139,0.051522557632604535
WWW_as_IAML,2016-2020,IA/ML,19,299,0.06354515050167224
WWW_as_IAML,2016-2020,Ing. del Software,168,2591,0.06483983018139715
WWW_as_IAML,2016-2020,Redes,86,908,0.0947136563876652
WWW_as_IAML,2016-2020,Seguridad,54,1092,0.04945054945054945
