venue,priority_level,priority_score,inferred_area,ever_astar,years_present,active_article_years_required,recommended_action,manual_include,manual_area,manual_dblp_key_or_booktitle,manual_notes
WISE,HIGH,15.6,Sin clasificar,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
WoWMoM,HIGH,15.6,Sin clasificar,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
e-Science,HIGH,15.6,Sin clasificar,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
AMIA,HIGH,15.4,Bioinformática / Informática médica,False,5,12,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
CDC,HIGH,15.4,Control / Señal / Ingeniería,False,5,12,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
CSB,HIGH,15.4,Bioinformática / Informática médica,False,5,12,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
ECIS,HIGH,15.4,Sistemas de información,False,5,12,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
ICADL,HIGH,15.4,Sin clasificar,False,5,12,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
ECML,MEDIUM,14.8,Machine Learning / Data Mining,False,3,9,Revisión manual antes de extraer DBLP,,,,
HiPC,MEDIUM,14.8,Sistemas / HPC / Arquitectura,False,3,9,Revisión manual antes de extraer DBLP,,,,
ITP,MEDIUM,13.6,Sin clasificar,False,7,13,Revisión manual antes de extraer DBLP,,,,
MFCS,MEDIUM,13.6,Sin clasificar,False,7,13,Revisión manual antes de extraer DBLP,,,,
TCC,MEDIUM,13.6,Sin clasificar,False,7,13,Revisión manual antes de extraer DBLP,,,,
VRST,MEDIUM,13.6,Sin clasificar,False,7,13,Revisión manual antes de extraer DBLP,,,,
EAAI,MEDIUM,13.4,Sin clasificar,False,5,12,Revisión manual antes de extraer DBLP,,,,
ESQARU,MEDIUM,13.4,Sin clasificar,False,5,12,Revisión manual antes de extraer DBLP,,,,
FSR,MEDIUM,13.4,Sin clasificar,False,5,12,Revisión manual antes de extraer DBLP,,,,
ICCL,MEDIUM,13.4,Sin clasificar,False,5,12,Revisión manual antes de extraer DBLP,,,,
