venue,conference_name,core_year,level,source_files,n_raw_rows,had_conflict,level_raw_values,policy_2010
ICARCV,"International Conference on Control, Automation, Robotics and Vision",2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ICC,IEEE International Conference on Communications,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ICCAD,IEEE/ACM International Conference on Computer-Aided Design,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ICCCN,International Conference on Computer Communication and Networks,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ICCL,IEEE International Conference on Computer Languages,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ICCS,International Conference on Computational Science,2008,A,COREA-2008.csv,2,False,A,infer_2008_2013
ICDAR,IEEE International Conference on Document Analysis and Recognition,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ICDCS,International Conference on Distributed Computing Systems,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ICDT,International Conference on Database Theory,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ICECCS,IEEE International Conference on Engineering of Complex Computer Systems,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ICER,International Computing Education Research Workshop,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ICIAP,International Conference on Image Analysis and Processing,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ICIP,IEEE International Conference on Image Processing,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ICLP,International Conference on Logic Programming,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ICMAS,International Conference on Multi Agent Systems,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ICMCS,IEEE International Conference on Multimedia Computing and Systems,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ICMR,International Conference on Multimedia Retrieval (previously MIR),2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ICNN,IEEE International Conference on Neural Networks,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ICNP,International Conference on Network Protocols,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ICONIP,International Conference on Neural Information Processing,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ICPP,International Conference on Parallel Processing,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ICPR,International Conference on Pattern Recognition,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ICS,ACM International Conference on Supercomputing,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ICSA,International Conference on Software Architecture (was previously WICSA),2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ICSC2,International Computer Symposium Conference,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ICSME,"IEEE International Conference on Software Maintenance and Evolution (prior to 2014 was ICSM, IEEE International Conference on Software Maintenance)",2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ICSOC,International Conference on Service Oriented Computing,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ICSPC,International Conference on Security in Pervasive Computing,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ICSR,International Conference on Software Reuse,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ICSSP,International Conference on Software and System Processes (was ICSP prior to 2011),2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ICTL,International Conference on Temporal Logic,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
IDA,Intelligent Data Analysis,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
IEEE Alife,IEEE International Symposium on Artificial Life,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
IEEE SSE,IEEE International Conference on Software Services Engineering (previously IEEE International Conference on Services Computing SCC),2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
IEEETKDE,IEEE Transactions on Knowledge and Data Engineering,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
IJCNLP,International Joint Conference on Natural Language Processing,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
IJCNN,IEEE International Joint Conference on Neural Networks,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ILPS,International Logic Programming Symposium,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
IM,IFIP/IEEE International Symposium on Integrated Management (even years sharing with NOMS),2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
IMC,Internet Measurement Conference,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
IPCO,Conference on Integer Programming and Combinatorial Optimization,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
IPDPS,IEEE International Parallel and Distributed Processing Symposium (was IPPS and SPDP),2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ISAAC,International Symposium on Algorithms and Computation,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ISD,International Conference on Information Systems Development,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ISESE,International Symposium on Empirical Software Engineering,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ISMB,Intelligent Systems in Molecular Biology,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ISR,International Symposium on Robotics,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ISRR,International Symposium on Robotics Research,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ISSCC,IEEE International Solid-State Circuits Conference,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ISSRE,International Symposium on Software Reliability Engineering,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ISSTA,International Symposium on Software Testing and Analysis,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ISTA,International Conference on Information Systems Technology and its Application,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ISTCS,Israel Symposium on Theory of Computing and Systems,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ITS,International Conference on Intelligent Tutoring Systems,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ITiCSE,Annual Conference on Innovation and Technology in Computer Science Education,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
IUI,International Conference on Intelligent User Interfaces,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
IVCNZ,Image and Vision Computing Conference,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
Interact,IFIP TC13 Conference on Human-Computer Interaction,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
Interspeech,Interspeech (combined EuroSpeech and ICSLP in 2000),2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
JELIA,"Logics in Artificial Intelligence, European Conference",2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
K-CAP,Knowledge capture,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
LCN,IEEE Conference on Local Computer Networks,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
LCTES,"ACM SIGPLAN Conference on Languages, Compilers and Tools for Embedded Systems",2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
LPAR,Logic Programming and Automated Reasoning,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
LPNMR,International Conference on Logic Programming and Non-monotonic Reasoning,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
MASCOTS,Symposium Model Analysis and Simulation of Computer and Telecommunications Systems,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
MASS,IEEE International Conference on Mobile Ad-hoc and Sensor Systems,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
MATES ENASE,"Net Object Days (Includings MATES, ENASE etc.)",2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
MICRO,International Symposium on Microarchitecture,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
MMCN,ACM/SPIE Multimedia Computing and Networking,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
MMSP,International Workshop on Multimedia Signal Processing,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
