venue,core_year,level_2008,level_2013,level_2010_inferred,policy_2010,reason
179,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1790,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1792,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1798,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
18,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
180,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1813,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1814,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1815,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1818,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1821,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1823,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1825,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1838,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1839,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1840,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1841,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1842,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1845,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1859,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1870,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
19,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
191,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
192,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1942,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1944,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
196,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
197,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
