venue,conference_name,core_year,level,level_in_file,ranking_version_in_file,source_file,source_venue_col,undifferentiated_2010
IM,IFIP/IEEE International Symposium on Integrated Management (even years sharing with NOMS),2008,A,A,CORE2008,COREA-2008.csv,2,False
IVCNZ,Image and Vision Computing Conference,2008,A,A,CORE2008,COREA-2008.csv,2,False
IDA,Intelligent Data Analysis,2008,A,A,CORE2008,COREA-2008.csv,2,False
ISMB,Intelligent Systems in Molecular Biology,2008,A,A,CORE2008,COREA-2008.csv,2,False
ICALP,International Colloquium on Automata Languages and Programming,2008,A,A,CORE2008,COREA-2008.csv,2,False
ICSC2,International Computer Symposium Conference,2008,A,A,CORE2008,COREA-2008.csv,2,False
ICER,International Computing Education Research Workshop,2008,A,A,CORE2008,COREA-2008.csv,2,False
SC,"International Conference for High Performance Computing, Networking, Storage and Analysis (was Supercomputing Conference)",2008,A,A,CORE2008,COREA-2008.csv,2,False
BPM,International Conference in Business Process Management,2008,A,A,CORE2008,COREA-2008.csv,2,False
ICADL,International Conference of Asian Digital Libraries,2008,A,A,CORE2008,COREA-2008.csv,2,False
CaiSE,International Conference on Advanced Information Systems Engineering,2008,A,A,CORE2008,COREA-2008.csv,2,False
AID,International Conference on AI in Design,2008,A,A,CORE2008,COREA-2008.csv,2,False
ASAP,"International Conference on Application-specific Systems, Architectures and Processors",2008,A,A,CORE2008,COREA-2008.csv,2,False
AIED,International Conference on Artificial Intelligence in Education,2008,A,A,CORE2008,COREA-2008.csv,2,False
AIME,International Conference on Artificial Intelligence in Medicine,2008,A,A,CORE2008,COREA-2008.csv,2,False
CADE,International Conference on Automated Deduction,2008,A,A,CORE2008,COREA-2008.csv,2,False
CC,International Conference on Compiler Construction,2008,A,A,CORE2008,COREA-2008.csv,2,False
CASES,"International Conference on Compilers, Architecture, and Synthesis for Embedded Systems",2008,A,A,CORE2008,COREA-2008.csv,2,False
COLING,International Conference on Computational Linguistics,2008,A,A,CORE2008,COREA-2008.csv,2,False
RECOMB,International Conference on Computational Molecular Biology,2008,A,A,CORE2008,COREA-2008.csv,2,False
ICCS,International Conference on Computational Science,2008,A,A,CORE2008,COREA-2008.csv,2,False
CAIP,International Conference on Computer Analysis of Images and Patterns,2008,A,A,CORE2008,COREA-2008.csv,2,False
ICCCN,International Conference on Computer Communication and Networks,2008,A,A,CORE2008,COREA-2008.csv,2,False
COCOON,International Conference on Computing and Combinatorics,2008,A,A,CORE2008,COREA-2008.csv,2,False
ICCS,International Conference on Conceptual Structures,2008,A,A,CORE2008,COREA-2008.csv,2,False
CONCUR,International Conference on Concurrency Theory,2008,A,A,CORE2008,COREA-2008.csv,2,False
ICARCV,"International Conference on Control, Automation, Robotics and Vision",2008,A,A,CORE2008,COREA-2008.csv,2,False
CoopIS,International Conference on Cooperative Information Systems,2008,A,A,CORE2008,COREA-2008.csv,2,False
Coordination,International Conference on Coordination Models and Languages,2008,A,A,CORE2008,COREA-2008.csv,2,False
DEXA,International Conference on Database and Expert Systems Applications,2008,A,A,CORE2008,COREA-2008.csv,2,False
ICDT,International Conference on Database Theory,2008,A,A,CORE2008,COREA-2008.csv,2,False
ICDCS,International Conference on Distributed Computing Systems,2008,A,A,CORE2008,COREA-2008.csv,2,False
ECWeb,International Conference on Electronic Commerce and Web Technology,2008,A,A,CORE2008,COREA-2008.csv,2,False
EMSOFT,International Conference on Embedded Software,2008,A,A,CORE2008,COREA-2008.csv,2,False
EWSN,International Conference on Embedded Wireless Systems and Networks (wasEuropean Conference on Wireless Sensor Networks),2008,A,A,CORE2008,COREA-2008.csv,2,False
EASE,International Conference on Evaluation and Assessment in Software Engineering,2008,A,A,CORE2008,COREA-2008.csv,2,False
FSR,International Conference on Field and Service Robotics,2008,A,A,CORE2008,COREA-2008.csv,2,False
FODO,International Conference on Foundation on Data Organization,2008,A,A,CORE2008,COREA-2008.csv,2,False
HiPC,International Conference on High Performance Computing,2008,A,A,CORE2008,COREA-2008.csv,2,False
MobileHCI,International Conference on Human-Computer Interaction with Mobile Devices and Services,2008,A,A,CORE2008,COREA-2008.csv,2,False
ICIAP,International Conference on Image Analysis and Processing,2008,A,A,CORE2008,COREA-2008.csv,2,False
ISD,International Conference on Information Systems Development,2008,A,A,CORE2008,COREA-2008.csv,2,False
ISTA,International Conference on Information Systems Technology and its Application,2008,A,A,CORE2008,COREA-2008.csv,2,False
CPAIOR,International Conference on Integration of Artificial Intelligence and Operations Research Techniques in Constraint Programming for Combinatorial Optimization Problems,2008,A,A,CORE2008,COREA-2008.csv,2,False
ITS,International Conference on Intelligent Tutoring Systems,2008,A,A,CORE2008,COREA-2008.csv,2,False
IUI,International Conference on Intelligent User Interfaces,2008,A,A,CORE2008,COREA-2008.csv,2,False
EKAW,International Conference on Knowledge Engineering and Knowledge Management,2008,A,A,CORE2008,COREA-2008.csv,2,False
ICLP,International Conference on Logic Programming,2008,A,A,CORE2008,COREA-2008.csv,2,False
LPNMR,International Conference on Logic Programming and Non-monotonic Reasoning,2008,A,A,CORE2008,COREA-2008.csv,2,False
Mobiquitous,International Conference on Mobile and Ubiquitous Systems: Networks and Services,2008,A,A,CORE2008,COREA-2008.csv,2,False
MODELS,"International Conference on Model Driven Engineering Languages and Systems (Previously UML, changed in 2005)",2008,A,A,CORE2008,COREA-2008.csv,2,False
ICMAS,International Conference on Multi Agent Systems,2008,A,A,CORE2008,COREA-2008.csv,2,False
ICMR,International Conference on Multimedia Retrieval (previously MIR),2008,A,A,CORE2008,COREA-2008.csv,2,False
ICNP,International Conference on Network Protocols,2008,A,A,CORE2008,COREA-2008.csv,2,False
ICONIP,International Conference on Neural Information Processing,2008,A,A,CORE2008,COREA-2008.csv,2,False
PACT,International Conference on Parallel Architecture and Compilation Techniques,2008,A,A,CORE2008,COREA-2008.csv,2,False
ICPP,International Conference on Parallel Processing,2008,A,A,CORE2008,COREA-2008.csv,2,False
ICPR,International Conference on Pattern Recognition,2008,A,A,CORE2008,COREA-2008.csv,2,False
CP,International Conference on Principles and Practice of Constraint Programming,2008,A,A,CORE2008,COREA-2008.csv,2,False
Ada-Europe,International Conference on Reliable Software Technologies,2008,A,A,CORE2008,COREA-2008.csv,2,False
RTA,International Conference on Rewriting Techniques and Applications (now merged with FSCD Formal Structures for Computation and Deduction),2008,A,A,CORE2008,COREA-2008.csv,2,False
SSDBM,International Conference on Scientific and Statistical Data Base Management,2008,A,A,CORE2008,COREA-2008.csv,2,False
ICSPC,International Conference on Security in Pervasive Computing,2008,A,A,CORE2008,COREA-2008.csv,2,False
ICSOC,International Conference on Service Oriented Computing,2008,A,A,CORE2008,COREA-2008.csv,2,False
ICSSP,International Conference on Software and System Processes (was ICSP prior to 2011),2008,A,A,CORE2008,COREA-2008.csv,2,False
ICSA,International Conference on Software Architecture (was previously WICSA),2008,A,A,CORE2008,COREA-2008.csv,2,False
ICSR,International Conference on Software Reuse,2008,A,A,CORE2008,COREA-2008.csv,2,False
ICTL,International Conference on Temporal Logic,2008,A,A,CORE2008,COREA-2008.csv,2,False
ALIFE,International Conference on the Simulation and Synthesis of Living Systems,2008,A,A,CORE2008,COREA-2008.csv,2,False
ASIACRYPT,International Conference on the Theory and Application of Cryptology and Information Security,2008,A,A,CORE2008,COREA-2008.csv,2,False
TABLEAUX,International Conference on Theorem Proving with Analytic Tableaux and Related Methods,2008,A,A,CORE2008,COREA-2008.csv,2,False
SAT,International Conference on Theory and Applications of Satisfiability Testing,2008,A,A,CORE2008,COREA-2008.csv,2,False
TPDL,International Conference on Theory and Practice of Digital Libraries (was ECDL until 2010),2008,A,A,CORE2008,COREA-2008.csv,2,False
WISE,International Conference on Web Information Systems Engineering,2008,A,A,CORE2008,COREA-2008.csv,2,False
EuroPar,International European Conference on Parallel and Distributed Computing (was International Conference on Parallel Processing),2008,A,A,CORE2008,COREA-2008.csv,2,False
